ScreenName	ScreenID	PlateName	PlateID	MeasurementDate	MeasurementID	WellName	Row	Column	Timepoint	Plane	Nuclei - Number of Objects	Nuclei - Nuclei Selected - Mean per Well	Nuclei Selected - Number of Objects	Nuclei Selected - Nucleus Area [µm²] - Mean per Well	Nuclei Selected - Nucleus Roundness - Mean per Well	Nuclei Selected - Nucleus Width [µm] - Mean per Well	Nuclei Selected - Nucleus Length [µm] - Mean per Well	Nuclei Selected - Nucleus Ratio Width to Length - Mean per Well	Nuclei Selected - Intensity Nucleus Green Mean - Mean per Well	Nuclei Selected - Intensity Nucleus Red Mean - Mean per Well	Number of Analyzed Fields	Link
161219_Epi_Env_Screen_Batch2	2152	HTIF00041	2705	2016-12-21T09:36:56Z	2630	A1	1	1	1	1	857	0.812135355893	696	173.180039101	0.964909531698	11.8268167868	16.9432100932	0.703841647658	353.061852521	370.339450424	30	http://columbus.nci.nih.gov/browse/measurement/2630/well=1.1
161219_Epi_Env_Screen_Batch2	2152	HTIF00041	2705	2016-12-21T09:36:56Z	2630	A2	1	2	1	1	909	0.795379537954	723	201.001881389	0.962548006323	12.8530187578	18.2426151173	0.707097878587	323.063781932	309.110722789	30	http://columbus.nci.nih.gov/browse/measurement/2630/well=1.2
161219_Epi_Env_Screen_Batch2	2152	HTIF00041	2705	2016-12-21T09:36:56Z	2630	A3	1	3	1	1	670	0.797014925373	534	168.903462907	0.974542366549	12.1721073013	16.2509492702	0.752883432009	411.858675803	372.136750843	30	http://columbus.nci.nih.gov/browse/measurement/2630/well=1.3
161219_Epi_Env_Screen_Batch2	2152	HTIF00041	2705	2016-12-21T09:36:56Z	2630	A4	1	4	1	1	562	0.76334519573	429	219.986968274	0.954822422197	13.2867576142	19.3036409923	0.692808980361	416.719082973	343.312267432	30	http://columbus.nci.nih.gov/browse/measurement/2630/well=1.4
161219_Epi_Env_Screen_Batch2	2152	HTIF00041	2705	2016-12-21T09:36:56Z	2630	A5	1	5	1	1	899	0.79977753059	719	184.968253628	0.970514223133	12.5097526203	17.2689724939	0.728599206205	338.591754263	300.37246496	30	http://columbus.nci.nih.gov/browse/measurement/2630/well=1.5
161219_Epi_Env_Screen_Batch2	2152	HTIF00041	2705	2016-12-21T09:36:56Z	2630	A6	1	6	1	1	668	0.790419161677	528	203.429539963	0.970664512163	13.2030257616	18.0252445075	0.734281374969	334.398546696	315.753787274	30	http://columbus.nci.nih.gov/browse/measurement/2630/well=1.6
161219_Epi_Env_Screen_Batch2	2152	HTIF00041	2705	2016-12-21T09:36:56Z	2630	A7	1	7	1	1	1194	0.816582914573	975	173.784924328	0.970429189682	12.0382747177	16.7778930316	0.721937337244	333.273232437	253.550822091	30	http://columbus.nci.nih.gov/browse/measurement/2630/well=1.7
161219_Epi_Env_Screen_Batch2	2152	HTIF00041	2705	2016-12-21T09:36:56Z	2630	A8	1	8	1	1	1001	0.787212787213	788	198.272668715	0.967912086174	12.8992989724	18.0441262274	0.718876509483	311.600920504	293.568922331	30	http://columbus.nci.nih.gov/browse/measurement/2630/well=1.8
161219_Epi_Env_Screen_Batch2	2152	HTIF00041	2705	2016-12-21T09:36:56Z	2630	A9	1	9	1	1	747	0.808567603748	604	193.552204193	0.96638885043	12.6331866488	17.8571094537	0.711398270322	400.955760035	349.881883096	30	http://columbus.nci.nih.gov/browse/measurement/2630/well=1.9
161219_Epi_Env_Screen_Batch2	2152	HTIF00041	2705	2016-12-21T09:36:56Z	2630	A10	1	10	1	1	1238	0.806946688207	999	175.453414686	0.969057446087	12.0567485398	16.9124646168	0.718637203264	321.570154161	249.066368529	30	http://columbus.nci.nih.gov/browse/measurement/2630/well=1.10
161219_Epi_Env_Screen_Batch2	2152	HTIF00041	2705	2016-12-21T09:36:56Z	2630	A11	1	11	1	1	973	0.805755395683	784	176.581353638	0.95238701771	11.7814181071	17.3466105902	0.684503690957	437.434173959	308.367752428	30	http://columbus.nci.nih.gov/browse/measurement/2630/well=1.11
161219_Epi_Env_Screen_Batch2	2152	HTIF00041	2705	2016-12-21T09:36:56Z	2630	A12	1	12	1	1	496	0.747983870968	371	244.813115716	0.977932091818	14.8964345738	19.6129674152	0.76109339044	461.426310438	373.472843226	30	http://columbus.nci.nih.gov/browse/measurement/2630/well=1.12
161219_Epi_Env_Screen_Batch2	2152	HTIF00041	2705	2016-12-21T09:36:56Z	2630	A13	1	13	1	1	983	0.806714140387	793	159.519945466	0.973083399511	11.6609953431	15.850713913	0.739942987384	415.006635092	272.930697647	30	http://columbus.nci.nih.gov/browse/measurement/2630/well=1.13
161219_Epi_Env_Screen_Batch2	2152	HTIF00041	2705	2016-12-21T09:36:56Z	2630	A14	1	14	1	1	532	0.785714285714	418	154.469220033	0.964804161288	11.4434112493	15.6722469426	0.733206239984	348.473118182	319.926798576	30	http://columbus.nci.nih.gov/browse/measurement/2630/well=1.14
161219_Epi_Env_Screen_Batch2	2152	HTIF00041	2705	2016-12-21T09:36:56Z	2630	A15	1	15	1	1	864	0.77662037037	671	219.274580467	0.972381017713	13.6960330459	18.7606616215	0.735310986378	411.423994611	310.19834572	30	http://columbus.nci.nih.gov/browse/measurement/2630/well=1.15
161219_Epi_Env_Screen_Batch2	2152	HTIF00041	2705	2016-12-21T09:36:56Z	2630	A16	1	16	1	1	780	0.748717948718	584	211.650860647	0.969145719279	13.4283399063	18.4205976357	0.731072243169	396.41616613	316.297223729	30	http://columbus.nci.nih.gov/browse/measurement/2630/well=1.16
161219_Epi_Env_Screen_Batch2	2152	HTIF00041	2705	2016-12-21T09:36:56Z	2630	A17	1	17	1	1	662	0.764350453172	506	229.452173202	0.961628694925	13.84743536	19.2895105796	0.719373314546	468.756474052	342.245059412	30	http://columbus.nci.nih.gov/browse/measurement/2630/well=1.17
161219_Epi_Env_Screen_Batch2	2152	HTIF00041	2705	2016-12-21T09:36:56Z	2630	A18	1	18	1	1	1066	0.797373358349	850	175.629841389	0.960396845411	11.8696616154	17.0535527336	0.70012652586	396.847089098	278.557586515	30	http://columbus.nci.nih.gov/browse/measurement/2630/well=1.18
161219_Epi_Env_Screen_Batch2	2152	HTIF00041	2705	2016-12-21T09:36:56Z	2630	A19	1	19	1	1	309	0.637540453074	197	356.716597441	0.957519164782	17.5345033814	23.6903237139	0.740797639808	455.144010128	361.940762706	30	http://columbus.nci.nih.gov/browse/measurement/2630/well=1.19
161219_Epi_Env_Screen_Batch2	2152	HTIF00041	2705	2016-12-21T09:36:56Z	2630	A20	1	20	1	1	953	0.766002098636	730	215.145468024	0.960161855858	13.2608495534	18.9026264185	0.705513231054	520.335569979	309.670821752	30	http://columbus.nci.nih.gov/browse/measurement/2630/well=1.20
161219_Epi_Env_Screen_Batch2	2152	HTIF00041	2705	2016-12-21T09:36:56Z	2630	A21	1	21	1	1	1080	0.771296296296	833	202.182584567	0.967458107632	13.0618388322	18.0455104379	0.725947950208	391.575538642	250.106508455	30	http://columbus.nci.nih.gov/browse/measurement/2630/well=1.21
161219_Epi_Env_Screen_Batch2	2152	HTIF00041	2705	2016-12-21T09:36:56Z	2630	A22	1	22	1	1	492	0.752032520325	370	224.68980355	0.971590535886	13.8938640746	19.0016766361	0.732613602269	599.820816905	411.157975104	30	http://columbus.nci.nih.gov/browse/measurement/2630/well=1.22
