8	A01	177.982663699
8	A02	234.018176802
8	A03	177.241122718
8	A04	203.046037855
8	A05	206.985505948
8	A06	188.282451702
8	A07	197.3785459
8	A08	193.70499968
8	A09	194.845088144
8	A10	220.452020572
8	A11	206.060509673
8	A12	191.184576013
8	A13	178.502125256
8	A14	178.684141648
8	A15	176.083605568
8	A16	259.139279989
8	A17	179.518612259
8	A18	170.829521914
8	A19	207.253617931
8	A20	183.3967291
8	A21	212.318366633
8	A22	207.615457312
8	A23	198.20653296
8	A24	165.287229691
8	B01	194.102936028
8	B02	168.983851681
8	B03	178.508764384
8	B04	184.831089179
8	B05	186.011889966
8	B06	183.469808541
8	B07	172.670519168
8	B08	172.729348015
8	B09	204.427138077
8	B10	199.718304541
8	B11	174.281744587
8	B12	190.539388066
8	B13	186.96249912
8	B14	169.906580883
8	B15	177.230421599
8	B16	172.520811712
8	B17	227.450871143
8	B18	188.311644514
8	B19	195.639491308
8	B20	198.091778937
8	B21	175.070914972
8	B22	193.946685226
8	B23	128.286930064
8	B24	258.36720798
8	C01	202.909557044
8	C02	171.099277258
8	C03	194.257068808
8	C04	201.150528261
8	C05	218.023354101
8	C06	193.090637413
8	C07	186.08147089
8	C08	194.962408139
8	C09	167.197903633
8	C10	216.723709611
8	C11	176.778055316
8	C12	189.818042748
8	C13	183.142246004
8	C14	170.739760396
8	C15	182.702908265
8	C16	188.488916041
8	C17	173.057942744
8	C18	178.263822371
8	C19	185.617124462
8	C20	193.452559427
8	C21	247.534017968
8	C22	224.718037196
8	C23	176.115392891
8	C24	164.520600972
8	D01	185.040521545
8	D02	204.723763288
8	D03	200.001024513
8	D04	174.94168608
8	D05	180.859362573
8	D06	185.458225717
8	D07	189.639318577
8	D08	191.160373108
8	D09	215.723233003
8	D10	181.378115529
8	D11	288.802101371
8	D12	205.48390203
8	D13	209.158821142
8	D14	184.920901221
8	D15	162.338588024
8	D16	187.158925767
8	D17	183.674588556
8	D18	193.988925057
8	D19	181.725267421
8	D20	256.620868687
8	D21	169.091094411
8	D22	165.476307371
8	D23	147.53815032
8	D24	255.531958564
8	E01	204.540021089
8	E02	186.358431988
8	E03	189.802429019
8	E04	180.899964735
8	E05	195.162393204
8	E06	191.549454163
8	E07	176.255955378
8	E08	247.115015155
8	E09	180.249310306
8	E10	215.673361184
8	E11	187.089390744
8	E12	183.812248225
8	E13	177.076499145
8	E14	205.702568109
8	E15	182.758309749
8	E16	218.726845235
8	E17	214.649663377
8	E18	198.683647254
8	E19	204.242792637
8	E20	175.613314927
8	E21	180.634043167
8	E22	184.921612708
8	E23	193.447069635
8	E24	159.399295225
8	F01	187.546004196
8	F02	208.625889556
8	F03	185.140636652
8	F04	187.916400522
8	F05	225.773506021
8	F06	179.567093622
8	F07	176.345767823
8	F08	184.456597193
8	F09	186.126261396
8	F10	199.844199496
8	F11	208.951664042
8	F12	161.055473305
8	F13	188.008424508
8	F14	217.51034676
8	F15	174.488778866
8	F16	167.247946402
8	F17	182.755025175
8	F18	197.223060479
8	F19	185.220409917
8	F20	202.341138958
8	F21	231.460214106
8	F22	213.974124894
8	F23	131.613418067
8	F24	259.334793387
8	G01	147.993634014
8	G02	190.54344149
8	G03	185.842746842
8	G04	177.34423136
8	G05	190.375595951
8	G06	215.015184847
8	G07	165.77257808
8	G08	218.516742128
8	G09	222.332458817
8	G10	236.976656546
8	G11	176.943220296
8	G12	172.735109936
8	G13	182.937553283
8	G14	199.532107398
8	G15	190.496101861
8	G16	193.331293708
8	G17	192.054925006
8	G18	147.072370925
8	G19	177.63070045
8	G20	186.333851601
8	G21	184.93595125
8	G22	181.180531626
8	G23	185.277766298
8	G24	163.519222538
8	H01	188.284802809
8	H02	213.164889829
8	H03	229.82583126
8	H04	196.817403913
8	H05	191.707636754
8	H06	203.238925672
8	H07	162.692645094
8	H08	186.197957541
8	H09	163.066561874
8	H10	211.713739565
8	H11	185.488979448
8	H12	201.78341448
8	H13	168.332427419
8	H14	194.62883582
8	H15	178.216447954
8	H16	220.241514841
8	H17	206.726535199
8	H18	153.409771501
8	H19	187.33686227
8	H20	198.824710107
8	H21	201.005699722
8	H22	175.165554658
8	H23	137.599231369
8	H24	254.074780402
8	I01	193.079469353
8	I02	174.344883951
8	I03	187.636056598
8	I04	263.955852762
8	I05	173.898268181
8	I06	173.888814747
8	I07	176.242479928
8	I08	171.677706404
8	I09	168.605677118
8	I10	217.07445106
8	I11	231.265990678
8	I12	204.468709074
8	I13	123.327058539
8	I14	139.888787079
8	I15	187.216340481
8	I16	198.655729342
8	I17	181.355192354
8	I18	207.157507019
8	I19	170.535055599
8	I20	194.426029307
8	I21	165.388365055
8	I22	185.251536164
8	I23	185.029594028
8	I24	163.645473981
8	J01	194.366748257
8	J02	193.692637812
8	J03	179.194202273
8	J04	192.638655039
8	J05	165.322381689
8	J06	180.971760572
8	J07	148.183768947
8	J08	258.669075299
8	J09	194.738735722
8	J10	199.167570449
8	J11	171.37109596
8	J12	181.0890791
8	J13	203.674323725
8	J14	176.491842287
8	J15	169.383450548
8	J16	179.975528616
8	J17	176.625899234
8	J18	165.7788786
8	J19	170.987393455
8	J20	175.219777761
8	J21	220.496310227
8	J22	171.548912125
8	J23	152.620430064
8	J24	248.503976915
8	K01	236.975341653
8	K02	198.427108567
8	K03	182.421994167
8	K04	195.967664772
8	K05	177.013921534
8	K06	164.040084309
8	K07	230.234423387
8	K08	152.886273319
8	K09	174.523608929
8	K10	179.210556984
8	K11	192.235866098
8	K12	182.417192402
8	K13	188.323456731
8	K14	198.208559029
