GeneID	Plate	Well	Score	RSARank	ScoreRank	PValue	RSAHit	#HitWell	#TotalWell	%HitWell	i.GeneID	GeneSymbol	siRNAID
1111	1	C03	-3.12	1	70	4.59344868302849e-05	1	3	3	100	1111	CHEK1	s502
1111	2	C03	-2.66	2	79	4.59344868302849e-05	1	3	3	100	1111	CHEK1	s503
1111	3	C03	-2.39	3	102	4.59344868302849e-05	1	3	3	100	1111	CHEK1	s504
983	1	A19	-2.6	4	80	0.000167517983433021	1	3	3	100	983	CDC2	s464
983	2	A19	-2.39	5	103	0.000167517983433021	1	3	3	100	983	CDC2	s465
983	3	A19	-1.92	6	158	0.000167517983433021	1	3	3	100	983	CDC2	s463
57062	8	G03	-1.94	8	153	0.000540550140365439	1	3	3	100	57062	DDX24	s32633
57062	7	G03	-1.71	9	215	0.000540550140365439	1	3	3	100	57062	DDX24	s32632
57062	6	G03	-1.64	10	233	0.000540550140365439	1	3	3	100	57062	DDX24	s32631
9730	1	E20	-2.4	11	100	0.000628843075356853	1	3	3	100	9730	VPRBP	s18762
9730	3	E20	-2.37	12	105	0.000628843075356853	1	3	3	100	9730	VPRBP	s18763
9730	2	E20	-1.6	13	245	0.000628843075356853	1	3	3	100	9730	VPRBP	s18761
4085	8	K14	-2.55	16	83	0.00106672859481848	1	3	3	100	4085	MAD2L1	s8393
4085	7	K14	-1.78	17	192	0.00106672859481848	1	3	3	100	4085	MAD2L1	s8392
4085	6	K14	-1.47	18	292	0.00106672859481848	1	3	3	100	4085	MAD2L1	s8391
23279	8	O06	-1.74	26	204	0.00373804636348887	1	3	3	100	23279	NUP160	s23466
23279	7	O06	-1.16	27	424	0.00373804636348887	1	3	3	100	23279	NUP160	s23465
23279	6	O06	-1.13	28	439	0.00373804636348887	1	3	3	100	23279	NUP160	s23464
9913	1	G14	-1.88	34	170	0.00537873306074014	1	3	3	100	9913	SUPT7L	s19221
9913	3	G14	-1.25	35	378	0.00537873306074014	1	3	3	100	9913	SUPT7L	s19223
9913	2	G14	-1.04	36	496	0.00537873306074014	1	3	3	100	9913	SUPT7L	s19222
6598	1	M05	-1.35	37	333	0.00557509831020682	1	3	3	100	6598	SMARCB1	s13144
6598	2	M05	-1.02	38	505	0.00557509831020682	1	3	3	100	6598	SMARCB1	s13142
6598	3	M05	-1.02	39	506	0.00557509831020682	1	3	3	100	6598	SMARCB1	s13143
151648	8	D12	-2.48	41	94	0.00565421504893569	1	3	3	100	151648	SGOL1	s45601
151648	6	D12	-2.08	42	126	0.00565421504893569	1	3	3	100	151648	SGOL1	s45599
26054	7	F06	-1.34	45	338	0.0064083402547309	1	3	3	100	26054	SENP6	s25024
26054	8	F06	-1.22	46	393	0.0064083402547309	1	3	3	100	26054	SENP6	s25025
26054	6	F06	-0.99	47	524	0.0064083402547309	1	3	3	100	26054	SENP6	s25023
10228	6	E06	-1.94	48	154	0.00648129996290686	1	3	3	100	10228	STX6	s19958
10228	8	E06	-1.69	49	220	0.00648129996290686	1	3	3	100	10228	STX6	s19960
10228	7	E06	-0.99	50	525	0.00648129996290686	1	3	3	100	10228	STX6	s19959
701	7	K19	-1.79	55	190	0.0077250964968373	1	3	3	100	701	BUB1B	s260
701	8	K19	-1.28	56	366	0.0077250964968373	1	3	3	100	701	BUB1B	s261
701	6	K19	-0.94	57	563	0.0077250964968373	1	3	3	100	701	BUB1B	s259
23165	6	D11	-1.2	60	403	0.0084462277589875	1	3	3	100	23165	NUP205	s23175
23165	7	D11	-0.93	61	570	0.0084462277589875	1	3	3	100	23165	NUP205	s23176
23165	8	D11	-0.92	62	577	0.0084462277589875	1	3	3	100	23165	NUP205	s23177
4174	7	M15	-1.23	63	388	0.00857796925212657	1	3	3	100	4174	MCM5	s8596
4174	6	M15	-1.17	64	421	0.00857796925212657	1	3	3	100	4174	MCM5	s8595
4174	8	M15	-0.92	65	578	0.00857796925212657	1	3	3	100	4174	MCM5	s8597
3065	2	G01	-2.53	72	85	0.0108023029659939	1	3	3	100	3065	HDAC1	s74
3065	3	G01	-1.86	73	174	0.0108023029659939	1	3	3	100	3065	HDAC1	s75
5885	7	O05	-1.62	75	239	0.0110318104680888	1	3	3	100	5885	RAD21	s11726
5885	8	O05	-1.59	76	248	0.0110318104680888	1	3	3	100	5885	RAD21	s11727
5885	6	O05	-0.85	77	633	0.0110318104680888	1	3	3	100	5885	RAD21	s11725
11332	8	D09	-0.98	82	533	0.0125589426131984	1	3	3	100	11332	ACOT7	s22348
11332	7	D09	-0.82	83	655	0.0125589426131984	1	3	3	100	11332	ACOT7	s22347
11332	6	D09	-0.82	84	656	0.0125589426131984	1	3	3	100	11332	ACOT7	s22346
160418	6	P10	-2.42	91	98	0.014587155748461	1	3	3	100	160418	TMTC3	s46197
160418	7	P10	-1.74	92	205	0.014587155748461	1	3	3	100	160418	TMTC3	s46198
8726	4	B13	-1.89	93	165	0.0146580952337455	1	3	3	100	8726	EED	s16625
8726	4	A13	-1.32	94	345	0.0146580952337455	1	3	3	100	8726	EED	s16626
8726	5	A13	-0.77	95	691	0.0146580952337455	1	3	3	100	8726	EED	s16624
