ScreenName	ScreenID	PlateName	PlateID	MeasurementDate	MeasurementID	WellName	Row	Column	Field	Plane	Timepoint	Object Number	X	Y	Bounding Box	Nuclei Selected - Object No in Nuclei	Nuclei Selected - Intensity Nucleus Region Exp3Cam2 Mean	Nuclei Selected - Intensity Nucleus Region Exp2Cam1 Mean	Nuclei Selected - Nucleus Ratio Width to Length	Nuclei Selected - Nucleus Length [µm]	Nuclei Selected - Nucleus Width [µm]	Nuclei Selected - Nucleus Roundness	Nuclei Selected - Nucleus Area [µm²]
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	E11	5	11	5	1	1	1	80	61	[61,40,102,85]	2	274.357	2280.24	0.74233	16.0413	11.908	0.964428	153.477
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	E11	5	11	5	1	1	2	405	206	[374,186,433,226]	3	285.138	1729.3	0.663069	19.1847	12.7208	0.94714	204.358
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	E11	5	11	5	1	1	3	117	252	[94,223,139,283]	4	241.957	1361.44	0.731555	19.4412	14.2223	0.965139	228.443
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	E11	5	11	5	1	1	4	254	410	[230,375,276,436]	5	340.917	2643.85	0.47605	20.3939	9.7085	0.904874	191.325
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	E11	5	11	5	1	1	5	120	433	[96,408,146,468]	6	304.291	2228.36	0.720704	20.1366	14.5126	0.992814	243.145
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	E11	5	11	5	1	1	6	362	470	[344,433,379,488]	7	335.211	2796.31	0.579515	17.8649	10.353	0.925606	168.596
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	E11	5	11	5	1	1	7	421	28	[399,7,445,53]	8	317.428	2681.29	0.698632	16.9945	11.8729	0.99669	167.657
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	E11	5	11	5	1	1	8	39	29	[17,7,62,53]	9	428.418	3252.55	0.826419	15.7263	12.9965	0.999527	168.491
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	E11	5	11	5	1	1	9	590	216	[566,192,614,240]	10	221.378	2389.05	0.701101	17.3797	12.1849	0.997416	178.396
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	E11	5	11	5	1	1	10	235	297	[213,275,259,322]	11	268.401	1879.29	0.875923	15.5529	13.6232	0.99422	180.065
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	E11	5	11	5	1	1	11	544	440	[518,414,571,469]	12	139.549	805.096	0.715748	20.1754	14.4405	0.980641	234.908
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	E11	5	11	2	1	1	1	261	112	[225,84,290,140]	2	241.981	1053.69	0.832343	21.0777	17.5439	0.9943	306.537
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	E11	5	11	2	1	1	2	646	128	[615,110,671,146]	3	323.434	2535.01	0.559755	18.6389	10.4332	0.920653	174.33
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	E11	5	11	2	1	1	3	160	226	[132,202,187,252]	4	262.103	2215.76	0.780751	18.1974	14.2076	0.991441	221.353
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	E11	5	11	2	1	1	4	171	268	[142,249,193,288]	5	293.148	1803.34	0.686509	16.6693	11.4436	0.896945	164.321
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	E11	5	11	2	1	1	5	643	352	[619,329,670,375]	6	164.973	1003.99	0.818101	17.0771	13.9708	0.994692	196.643
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	E11	5	11	2	1	1	6	495	397	[472,373,519,422]	7	192.663	1028.26	0.604737	18.1543	10.9786	0.987002	169.951
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	E11	5	11	2	1	1	7	297	409	[278,390,314,444]	8	350.763	2517.72	0.576523	18.0968	10.4332	0.957652	156.397
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	E11	5	11	2	1	1	8	344	476	[324,457,364,496]	9	387.095	3232.91	0.705887	15.5529	10.9786	0.857815	133.458
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	E11	5	11	2	1	1	9	401	169	[378,147,426,192]	10	301.781	1755.55	0.768514	16.9945	13.0605	0.991251	179.126
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	E11	5	11	2	1	1	10	462	189	[432,167,487,212]	11	201.875	2517.27	0.768502	17.8064	13.6843	0.98731	205.297
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	E11	5	11	2	1	1	11	365	314	[338,287,399,341]	12	292.29	1801.66	0.79339	20.1366	15.9762	0.94644	262.225
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	E11	5	11	2	1	1	12	187	443	[161,413,210,472]	13	396.017	2778.32	0.622508	20.4347	12.7208	0.960595	226.567
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	E11	5	11	7	1	1	1	116	59	[94,36,137,90]	2	337.583	2734.47	0.669464	18.6305	12.4725	0.983245	187.259
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	E11	5	11	7	1	1	2	480	76	[454,51,504,104]	3	328.906	3236.27	0.667883	19.2661	12.8675	0.984956	207.278
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	E11	5	11	7	1	1	3	132	167	[110,131,155,190]	4	346.394	1960.68	0.698886	19.5801	13.6843	0.957048	225.107
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	E11	5	11	7	1	1	4	583	159	[564,133,604,189]	5	318.995	2295.13	0.669305	18.1285	12.1335	0.930985	182.776
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	E11	5	11	7	1	1	5	653	231	[630,207,677,259]	6	268.525	2057.32	0.704632	17.7007	12.4725	0.908008	192.472
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	E11	5	11	7	1	1	6	380	258	[361,238,400,294]	7	267.957	1950.3	0.664267	18.266	12.1335	0.965229	181.316
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	E11	5	11	7	1	1	7	276	221	[251,187,302,252]	11	224.119	1321.5	0.746108	21.0777	15.7263	0.978303	274.632
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	E11	5	11	7	1	1	8	516	283	[493,254,540,313]	12	194.442	1793.25	0.707391	19.7075	13.9409	0.980777	228.965
