ScreenName	ScreenID	PlateName	PlateID	MeasurementDate	MeasurementID	WellName	Row	Column	Timepoint	Plane	Nuclei Selected - Number of Objects	Nuclei Selected - Nucleus Area [µm²] - Mean per Well	Nuclei Selected - Nucleus Roundness - Mean per Well	Nuclei Selected - Nucleus Width [µm] - Mean per Well	Nuclei Selected - Nucleus Length [µm] - Mean per Well	Nuclei Selected - Nucleus Ratio Width to Length - Mean per Well	Nuclei Selected - Intensity Nucleus Region Exp2Cam1 Mean - Mean per Well	Nuclei Selected - Intensity Nucleus Region Exp3Cam2 Mean - Mean per Well	Number of Analyzed Fields	Link
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	A1	1	1	1	1	403	182.197528864	0.94363203327	11.6710959342	18.3568038728	0.637624461592	3589.81878417	427.650765828	30	http://columbus.nci.nih.gov/browse/measurement/3749/well=1.1
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	A2	1	2	1	1	261	197.751635123	0.964496933362	12.9613096034	18.1633068687	0.717269891904	2169.06732468	443.112888197	30	http://columbus.nci.nih.gov/browse/measurement/3749/well=1.2
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	A3	1	3	1	1	308	178.080904114	0.95744789662	11.762843665	17.7540854486	0.664624306422	2872.92388133	435.253869701	30	http://columbus.nci.nih.gov/browse/measurement/3749/well=1.3
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	A4	1	4	1	1	195	262.310006746	0.945668311404	14.4159343986	21.5603864033	0.671700123916	2443.93937367	364.651261389	30	http://columbus.nci.nih.gov/browse/measurement/3749/well=1.4
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	A5	1	5	1	1	191	222.838700857	0.961946221577	13.4645193028	19.6240872199	0.689660488856	2578.43961405	431.100631694	30	http://columbus.nci.nih.gov/browse/measurement/3749/well=1.5
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	A6	1	6	1	1	333	193.626837028	0.972620114738	13.1605305932	17.5057397874	0.753434809974	2782.19316072	371.572395436	30	http://columbus.nci.nih.gov/browse/measurement/3749/well=1.6
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	A7	1	7	1	1	337	200.054938915	0.971907435193	13.2724881151	18.0372962226	0.740809827517	2917.1328028	377.318848585	30	http://columbus.nci.nih.gov/browse/measurement/3749/well=1.7
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	A8	1	8	1	1	176	251.05211176	0.971121102478	14.5943413585	20.492523875	0.716166229402	1854.06299743	327.267472451	30	http://columbus.nci.nih.gov/browse/measurement/3749/well=1.8
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	A9	1	9	1	1	207	215.737167688	0.960271601805	13.3168892594	19.1046530192	0.697538326393	1982.30111493	300.49169061	30	http://columbus.nci.nih.gov/browse/measurement/3749/well=1.9
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	A10	1	10	1	1	321	198.753300737	0.955579057176	12.7965537016	18.3198894234	0.701609157541	2589.37144788	246.468779326	30	http://columbus.nci.nih.gov/browse/measurement/3749/well=1.10
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	A11	1	11	1	1	286	168.011159889	0.939672053143	11.4463480175	17.0377619379	0.674792486206	2492.09907035	288.269870034	30	http://columbus.nci.nih.gov/browse/measurement/3749/well=1.11
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	A12	1	12	1	1	443	184.68263153	0.960827153128	12.4349408723	17.5798033329	0.71023498177	2774.6467422	257.242935801	30	http://columbus.nci.nih.gov/browse/measurement/3749/well=1.12
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	A13	1	13	1	1	308	207.365662491	0.935870393511	12.1201774524	20.1414320617	0.60474424485	1929.64806157	316.761875619	30	http://columbus.nci.nih.gov/browse/measurement/3749/well=1.13
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	A14	1	14	1	1	337	226.080820723	0.955666791015	13.5320628286	19.8996075606	0.683186331712	2313.98367574	297.634729108	30	http://columbus.nci.nih.gov/browse/measurement/3749/well=1.14
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	A15	1	15	1	1	341	190.763815644	0.967529541586	12.6646180262	17.9071421359	0.708256326696	3098.72745999	306.14053678	30	http://columbus.nci.nih.gov/browse/measurement/3749/well=1.15
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	A16	1	16	1	1	101	203.26914506	0.949709524396	12.8649546977	18.3854403007	0.69844313793	1990.34050965	290.473150625	30	http://columbus.nci.nih.gov/browse/measurement/3749/well=1.16
