Wells: 384
Plates: 8
Plate	Well	Content
1	M17	sample
1	M18	sample
1	M19	sample
1	M02	sample
1	M20	sample
1	M21	sample
1	M22	sample
1	M03	sample
1	M04	sample
1	M05	sample
1	M06	sample
1	M07	sample
1	M08	sample
1	M09	sample
1	N01	sample
1	N10	sample
1	N11	sample
1	N12	sample
1	N13	sample
1	N14	sample
1	N15	sample
1	N16	sample
1	N17	sample
1	N18	sample
1	N19	sample
1	N02	sample
1	N20	sample
1	N21	sample
1	N22	sample
1	N03	sample
1	N04	sample
1	N05	sample
1	N06	sample
1	N07	sample
1	N08	sample
1	N09	sample
1	O01	sample
1	O10	sample
1	O11	sample
1	O12	sample
1	O13	sample
1	O14	sample
1	O15	sample
1	O16	sample
1	O17	sample
1	O18	sample
1	O19	sample
1	O02	sample
1	O20	sample
1	O21	sample
1	O22	sample
1	O03	sample
1	O04	sample
1	O05	sample
1	O06	sample
1	O07	sample
1	O08	sample
1	O09	sample
1	P01	sample
1	P10	sample
1	P11	sample
1	P12	sample
1	P13	sample
1	P14	sample
1	P15	sample
1	P16	sample
1	P17	sample
1	P18	sample
1	P19	sample
1	P02	sample
1	P20	sample
1	P21	sample
1	P22	sample
1	P03	sample
1	P04	sample
1	P05	sample
1	P06	sample
1	P07	sample
1	P08	sample
1	P09	sample
2	A01	sample
2	A10	sample
2	A11	sample
2	A12	sample
2	A13	sample
2	A14	sample
2	A15	sample
2	A16	sample
2	A17	sample
2	A18	sample
2	A19	sample
2	A02	sample
2	A20	sample
2	A21	sample
2	A22	sample
2	A03	sample
2	A04	sample
2	A05	sample
2	A06	sample
2	A07	sample
2	A08	sample
2	A09	sample
2	B01	sample
2	B10	sample
2	B11	sample
2	B12	sample
2	B13	sample
2	B14	sample
2	B15	sample
2	B16	sample
2	B17	sample
2	B18	sample
2	B19	sample
2	B02	sample
2	B20	sample
2	B21	sample
2	B22	sample
2	B03	sample
2	B04	sample
2	B05	sample
2	B06	sample
2	B07	sample
2	B08	sample
2	B09	sample
2	C01	sample
2	C10	sample
2	C11	sample
2	C12	sample
2	C13	sample
2	C14	sample
2	C16	sample
2	C17	sample
2	C18	sample
2	C19	sample
2	C02	sample
2	C20	sample
2	C21	sample
2	C22	sample
2	C03	sample
2	C04	sample
2	C05	sample
2	C06	sample
2	C07	sample
2	C08	sample
2	C09	sample
2	D01	sample
2	D10	sample
2	D11	sample
2	D12	sample
2	D13	sample
2	D14	sample
2	D15	sample
2	D16	sample
2	D17	sample
2	D18	sample
2	D19	sample
2	D02	sample
2	D20	sample
2	D21	sample
2	D22	sample
2	D03	sample
2	D04	sample
2	D05	sample
2	D06	sample
2	D07	sample
2	D08	sample
2	D09	sample
2	E01	sample
2	E10	sample
2	E11	sample
2	E12	sample
2	E13	sample
2	E14	sample
2	E15	sample
2	E16	sample
2	E17	sample
2	E18	sample
2	E19	sample
2	E02	sample
2	E20	sample
2	E21	sample
2	E22	sample
2	E03	sample
2	E04	sample
2	E05	sample
2	E06	sample
2	E07	sample
2	E08	sample
2	E09	sample
2	F01	sample
2	F10	sample
2	F11	sample
2	F12	sample
2	F13	sample
2	F14	sample
2	F15	sample
2	F16	sample
2	F17	sample
2	F18	sample
2	F19	sample
2	F02	sample
2	F20	sample
2	F21	sample
2	F22	sample
2	F03	sample
2	F04	sample
2	F05	sample
2	F06	sample
2	F07	sample
2	F08	sample
2	F09	sample
2	G01	sample
2	G10	sample
2	G11	sample
2	G12	sample
2	G13	sample
2	G14	sample
2	G15	sample
2	G16	sample
2	G17	sample
2	G18	sample
2	G19	sample
2	G02	sample
2	G20	sample
2	G21	sample
2	G22	sample
2	G03	sample
2	G04	sample
2	G05	sample
2	G06	sample
2	G07	sample
2	G08	sample
2	G09	sample
2	H01	sample
2	H10	sample
2	H11	sample
2	H12	sample
2	H13	sample
2	H14	sample
2	H15	sample
2	H16	sample
2	H17	sample
2	H18	sample
2	H19	sample
2	H02	sample
2	H20	sample
2	H21	sample
2	H22	sample
2	H03	sample
2	H04	sample
2	H05	sample
2	H06	sample
2	H07	sample
2	H08	sample
2	H09	sample
2	I01	sample
2	I10	sample
2	I11	sample
2	I12	sample
2	I13	sample
2	I14	sample
2	I15	sample
2	I16	sample
2	I17	sample
2	I18	sample
2	I19	sample
2	I02	sample
2	I20	sample
2	I21	sample
2	I22	sample
2	I03	sample
2	I04	sample
2	I05	sample
2	I06	sample
2	I07	sample
2	I08	sample
2	I09	sample
2	J01	sample
2	J10	sample
2	J11	sample
2	J12	sample
2	J13	sample
2	J14	sample
2	J15	sample
2	J16	sample
2	J17	sample
2	J18	sample
2	J19	sample
2	J02	sample
2	J20	sample
2	J21	sample
2	J22	sample
2	J03	sample
2	J04	sample
2	J05	sample
2	J06	sample
2	J07	sample
2	J08	sample
2	J09	sample
2	K01	sample
2	K10	sample
2	K11	sample
2	K12	sample
2	K13	sample
2	K14	sample
2	K15	sample
2	K16	sample
2	K17	sample
2	K18	sample
2	K19	sample
2	K02	sample
2	K20	sample
2	K21	sample
2	K22	sample
2	K03	sample
2	K04	sample
2	K05	sample
2	K06	sample
2	K07	sample
2	K08	sample
2	K09	sample
2	L01	sample
2	L10	sample
2	L11	sample
2	L12	sample
2	L13	sample
2	L14	sample
2	L15	sample
2	L16	sample
2	L17	sample
2	L18	sample
2	L19	sample
2	L02	sample
2	L20	sample
2	L21	sample
2	L22	sample
2	L03	sample
2	L04	sample
2	L05	sample
2	L06	sample
2	L07	sample
2	L08	sample
2	L09	sample
2	M01	sample
2	M10	sample
2	M11	sample
2	M12	sample
2	M13	sample
2	M14	sample
2	M15	sample
2	M16	sample
2	M17	sample
2	M18	sample
2	M19	sample
2	M02	sample
2	M20	sample
2	M21	sample
2	M22	sample
2	M03	sample
2	M04	sample
2	M05	sample
2	M06	sample
2	M07	sample
2	M08	sample
2	M09	sample
2	N01	sample
2	N10	sample
2	N11	sample
2	N12	sample
2	N13	sample
2	N14	sample
2	N15	sample
2	N16	sample
2	N17	sample
2	N18	sample
2	N19	sample
2	N02	sample
2	N20	sample
2	N21	sample
2	N22	sample
2	N03	sample
2	N04	sample
2	N05	sample
2	N06	sample
2	N07	sample
2	N08	sample
2	N09	sample
2	O01	sample
2	O10	sample
2	O11	sample
2	O12	sample
2	O13	sample
2	O14	sample
2	O15	sample
2	O16	sample
2	O17	sample
2	O18	sample
2	O19	sample
2	O02	sample
2	O20	sample
2	O21	sample
2	O22	sample
2	O03	sample
2	O04	sample
2	O05	sample
2	O06	sample
2	O07	sample
2	O08	sample
2	O09	sample
2	P01	sample
2	P10	sample
2	P11	sample
2	P12	sample
2	P13	sample
2	P14	sample
2	P15	sample
2	P16	sample
2	P17	sample
2	P18	sample
2	P19	sample
2	P02	sample
2	P20	sample
2	P21	sample
2	P22	sample
2	P03	sample
2	P04	sample
2	P05	sample
2	P06	sample
2	P07	sample
2	P08	sample
2	P09	sample
3	A01	sample
3	A10	sample
3	A11	sample
3	A12	sample
3	A13	sample
3	A14	sample
3	A15	sample
3	A16	sample
3	A17	sample
3	A18	sample
3	A19	sample
3	A02	sample
3	A20	sample
3	A21	sample
3	A22	sample
3	A03	sample
3	A04	sample
3	A05	sample
3	A06	sample
3	A07	sample
3	A08	sample
3	A09	sample
3	B01	sample
3	B10	sample
3	B11	sample
3	B12	sample
3	B13	sample
3	B14	sample
3	B15	sample
3	B16	sample
3	B17	sample
3	B18	sample
3	B19	sample
3	B02	sample
3	B20	sample
3	B21	sample
3	B22	sample
3	B03	sample
3	B04	sample
3	B05	sample
3	B06	sample
3	B07	sample
3	B08	sample
3	B09	sample
3	C01	sample
3	C10	sample
3	C11	sample
3	C12	sample
3	C13	sample
3	C14	sample
3	C16	sample
3	C17	sample
3	C18	sample
3	C19	sample
3	C02	sample
3	C20	sample
3	C21	sample
3	C22	sample
3	C03	sample
3	C04	sample
3	C05	sample
3	C06	sample
3	C07	sample
3	C08	sample
3	C09	sample
3	D01	sample
3	D10	sample
3	D11	sample
3	D12	sample
3	D13	sample
3	D14	sample
3	D15	sample
3	D16	sample
3	D17	sample
3	D18	sample
3	D19	sample
3	D02	sample
3	D20	sample
3	D21	sample
3	D22	sample
3	D03	sample
3	D04	sample
3	D05	sample
3	D06	sample
3	D07	sample
3	D08	sample
3	D09	sample
3	E01	sample
3	E10	sample
3	E11	sample
3	E12	sample
3	E13	sample
3	E14	sample
3	E15	sample
3	E16	sample
3	E17	sample
3	E18	sample
3	E19	sample
3	E02	sample
3	E20	sample
3	E21	sample
3	E22	sample
3	E03	sample
3	E04	sample
3	E05	sample
3	E06	sample
3	E07	sample
3	E08	sample
3	E09	sample
3	F01	sample
3	F10	sample
3	F11	sample
3	F12	sample
3	F13	sample
3	F14	sample
3	F15	sample
3	F16	sample
3	F17	sample
3	F18	sample
3	F19	sample
3	F02	sample
3	F20	sample
3	F21	sample
3	F22	sample
3	F03	sample
3	F04	sample
3	F05	sample
3	F06	sample
3	F07	sample
3	F08	sample
3	F09	sample
3	G01	sample
3	G10	sample
3	G11	sample
3	G12	sample
3	G13	sample
3	G14	sample
3	G15	sample
3	G16	sample
3	G17	sample
3	G18	sample
3	G19	sample
3	G02	sample
3	G20	sample
3	G21	sample
3	G22	sample
3	G03	sample
3	G04	sample
3	G05	sample
3	G06	sample
3	G07	sample
3	G08	sample
3	G09	sample
3	H01	sample
3	H10	sample
3	H11	sample
3	H12	sample
3	H13	sample
3	H14	sample
3	H15	sample
3	H16	sample
3	H17	sample
3	H18	sample
3	H19	sample
3	H02	sample
3	H20	sample
3	H21	sample
3	H22	sample
3	H03	sample
3	H04	sample
3	H05	sample
3	H06	sample
3	H07	sample
3	H08	sample
3	H09	sample
3	I01	sample
3	I10	sample
3	I11	sample
3	I12	sample
3	I13	sample
3	I14	sample
3	I15	sample
3	I16	sample
3	I17	sample
3	I18	sample
3	I19	sample
3	I02	sample
3	I20	sample
3	I21	sample
3	I22	sample
3	I03	sample
3	I04	sample
3	I05	sample
3	I06	sample
3	I07	sample
3	I08	sample
3	I09	sample
3	J01	sample
3	J10	sample
3	J11	sample
3	J12	sample
3	J13	sample
3	J14	sample
3	J15	sample
3	J16	sample
3	J17	sample
3	J18	sample
3	J19	sample
3	J02	sample
3	J20	sample
3	J21	sample
3	J22	sample
3	J03	sample
3	J04	sample
3	J05	sample
3	J06	sample
3	J07	sample
3	J08	sample
3	J09	sample
3	K01	sample
3	K10	sample
3	K11	sample
3	K12	sample
3	K13	sample
3	K14	sample
3	K15	sample
3	K16	sample
3	K17	sample
3	K18	sample
3	K19	sample
3	K02	sample
3	K20	sample
3	K21	sample
3	K22	sample
3	K03	sample
3	K04	sample
3	K05	sample
3	K06	sample
3	K07	sample
3	K08	sample
3	K09	sample
3	L01	sample
3	L10	sample
3	L11	sample
3	L12	sample
3	L13	sample
3	L14	sample
3	L15	sample
3	L16	sample
3	L17	sample
3	L18	sample
3	L19	sample
3	L02	sample
3	L20	sample
3	L21	sample
3	L22	sample
3	L03	sample
3	L04	sample
3	L05	sample
3	L06	sample
3	L07	sample
3	L08	sample
3	L09	sample
3	M01	sample
3	M10	sample
3	M11	sample
3	M12	sample
3	M13	sample
3	M14	sample
3	M15	sample
3	M16	sample
3	M17	sample
3	M18	sample
3	M19	sample
3	M02	sample
3	M20	sample
3	M21	sample
3	M22	sample
3	M03	sample
3	M04	sample
3	M05	sample
3	M06	sample
3	M07	sample
3	M08	sample
3	M09	sample
3	N01	sample
3	N10	sample
3	N11	sample
3	N12	sample
3	N13	sample
3	N14	sample
3	N15	sample
3	N16	sample
3	N17	sample
3	N18	sample
3	N19	sample
3	N02	sample
3	N20	sample
3	N21	sample
3	N22	sample
3	N03	sample
3	N04	sample
3	N05	sample
3	N06	sample
3	N07	sample
3	N08	sample
3	N09	sample
3	O01	sample
3	O10	sample
3	O11	sample
3	O12	sample
3	O13	sample
3	O14	sample
3	O15	sample
3	O16	sample
3	O17	sample
3	O18	sample
3	O19	sample
3	O02	sample
3	O20	sample
3	O21	sample
3	O22	sample
3	O03	sample
3	O04	sample
3	O05	sample
3	O06	sample
3	O07	sample
3	O08	sample
3	O09	sample
3	P01	sample
3	P10	sample
3	P11	sample
3	P12	sample
3	P13	sample
3	P14	sample
3	P15	sample
3	P16	sample
3	P17	sample
3	P18	sample
3	P19	sample
3	P02	sample
3	P20	sample
3	P21	sample
3	P22	sample
3	P03	sample
3	P04	sample
3	P05	sample
3	P06	sample
3	P07	sample
3	P08	sample
3	P09	sample
4	A01	sample
4	A10	sample
4	A11	sample
4	A12	sample
4	A13	sample
4	A14	sample
4	A15	sample
4	A16	sample
4	A17	sample
4	A18	sample
4	A19	sample
4	A02	sample
4	A20	sample
4	A21	sample
4	A22	sample
4	A03	sample
4	A04	sample
4	A05	sample
4	A06	sample
4	A07	sample
4	A08	sample
4	A09	sample
4	B01	sample
4	B11	sample
4	B13	sample
4	B15	sample
4	B17	sample
4	B19	sample
4	B21	sample
4	B03	sample
4	B05	sample
4	B07	sample
4	B09	sample
4	C01	sample
4	C10	sample
4	C11	sample
4	C12	sample
4	C13	sample
4	C14	sample
4	C15	sample
4	C16	sample
4	C17	sample
4	C18	sample
4	C19	sample
4	C02	sample
4	C20	sample
4	C21	sample
4	C03	sample
4	C04	sample
4	C05	sample
4	C06	sample
4	C07	sample
4	C08	sample
4	C09	sample
4	D01	sample
4	D11	sample
4	D13	sample
4	D15	sample
4	D17	sample
4	D19	sample
4	D21	sample
4	D03	sample
4	D05	sample
4	D07	sample
4	D09	sample
4	E01	sample
4	E10	sample
4	E11	sample
4	E12	sample
4	E13	sample
4	E14	sample
4	E15	sample
4	E16	sample
4	E17	sample
4	E18	sample
4	E19	sample
4	E20	sample
4	E21	sample
4	E22	sample
4	E03	sample
4	E04	sample
4	E05	sample
4	E06	sample
4	E07	sample
4	E08	sample
4	E09	sample
4	F01	sample
4	F11	sample
4	F13	sample
4	F15	sample
4	F17	sample
4	F19	sample
4	F21	sample
4	F03	sample
4	F05	sample
4	F07	sample
4	F09	sample
4	G01	sample
4	G10	sample
4	G11	sample
4	G12	sample
4	G13	sample
4	G14	sample
4	G15	sample
4	G16	sample
4	G17	sample
4	G18	sample
4	G19	sample
4	G02	sample
4	G20	sample
4	G21	sample
4	G22	sample
4	G03	sample
4	G04	sample
4	G05	sample
4	G06	sample
4	G07	sample
4	G08	sample
4	G09	sample
4	H01	sample
4	H11	sample
4	H13	sample
4	H15	sample
4	H17	sample
4	H19	sample
4	H21	sample
4	H03	sample
4	H05	sample
4	H07	sample
4	H09	sample
4	I01	sample
4	I10	sample
4	I11	sample
4	I12	sample
4	I13	sample
4	I14	sample
4	I15	sample
4	I16	sample
4	I17	sample
4	I18	sample
4	I19	sample
4	I02	sample
4	I20	sample
4	I21	sample
4	I22	sample
4	I03	sample
4	I04	sample
4	I05	sample
4	I06	sample
4	I07	sample
4	I08	sample
4	I09	sample
4	J01	sample
4	J11	sample
4	J13	sample
4	J15	sample
4	J17	sample
4	J19	sample
4	J21	sample
4	J03	sample
4	J05	sample
4	J07	sample
4	J09	sample
4	K01	sample
4	K10	sample
4	K11	sample
4	K12	sample
4	K13	sample
4	K14	sample
4	K15	sample
4	K16	sample
4	K17	sample
4	K18	sample
4	K19	sample
4	K02	sample
4	K20	sample
4	K21	sample
4	K22	sample
4	K03	sample
4	K04	sample
4	K05	sample
4	K06	sample
4	K07	sample
4	K08	sample
4	K09	sample
4	L01	sample
4	L11	sample
4	L13	sample
4	L15	sample
4	L17	sample
4	L19	sample
4	L21	sample
4	L03	sample
4	L05	sample
4	L07	sample
4	L09	sample
4	M01	sample
4	M10	sample
4	M11	sample
4	M12	sample
4	M13	sample
4	M14	sample
4	M15	sample
4	M16	sample
4	M17	sample
4	M18	sample
4	M19	sample
4	M02	sample
4	M20	sample
4	M21	sample
4	M22	sample
4	M03	sample
4	M04	sample
4	M05	sample
4	M06	sample
4	M07	sample
4	M08	sample
4	M09	sample
4	N01	sample
4	N11	sample
4	N13	sample
4	N15	sample
4	N17	sample
4	N19	sample
4	N21	sample
4	N03	sample
4	N05	sample
4	N07	sample
4	N09	sample
4	O01	sample
4	O11	sample
4	O13	sample
4	O15	sample
4	O17	sample
4	O19	sample
4	O02	sample
4	O21	sample
4	O03	sample
4	O04	sample
4	O05	sample
4	O06	sample
4	O07	sample
4	O08	sample
4	O09	sample
4	P01	sample
4	P11	sample
4	P13	sample
4	P15	sample
4	P17	sample
4	P19	sample
4	P21	sample
4	P03	sample
4	P05	sample
4	P07	sample
4	P09	sample
5	A01	sample
5	A10	sample
5	A11	sample
5	A12	sample
5	A13	sample
5	A14	sample
5	A15	sample
5	A16	sample
5	A17	sample
5	A18	sample
5	A19	sample
5	A02	sample
5	A20	sample
5	A21	sample
5	A22	sample
5	A03	sample
5	A04	sample
5	A05	sample
5	A06	sample
5	A07	sample
5	A08	sample
5	A09	sample
5	B01	sample
5	B11	sample
5	B13	sample
5	B15	sample
5	B17	sample
5	B19	sample
5	B21	sample
5	B03	sample
5	B05	sample
5	B07	sample
5	B09	sample
5	C01	sample
5	C10	sample
5	C11	sample
5	C12	sample
5	C13	sample
5	C14	sample
5	C15	sample
5	C16	sample
5	C17	sample
5	C18	sample
5	C19	sample
5	C02	sample
5	C20	sample
5	C21	sample
5	C03	sample
5	C04	sample
5	C05	sample
5	C06	sample
5	C07	sample
5	C08	sample
5	C09	sample
5	D01	sample
5	D11	sample
5	D13	sample
5	D15	sample
5	D17	sample
5	D19	sample
5	D03	sample
5	D05	sample
5	D07	sample
5	D09	sample
5	E01	sample
5	E10	sample
5	E11	sample
5	E12	sample
5	E13	sample
5	E14	sample
5	E15	sample
5	E16	sample
5	E17	sample
5	E18	sample
5	E19	sample
5	E20	sample
5	E21	sample
5	E22	sample
5	E03	sample
5	E04	sample
5	E05	sample
5	E06	sample
5	E07	sample
5	E08	sample
5	E09	sample
5	F11	sample
5	F13	sample
5	F15	sample
5	F17	sample
5	F19	sample
5	F21	sample
5	F03	sample
5	F05	sample
5	F07	sample
5	F09	sample
5	G01	sample
5	G10	sample
5	G11	sample
5	G12	sample
5	G13	sample
5	G14	sample
5	G15	sample
5	G16	sample
5	G17	sample
5	G18	sample
5	G19	sample
5	G02	sample
5	G20	sample
5	G21	sample
5	G22	sample
5	G03	sample
5	G04	sample
5	G05	sample
5	G06	sample
5	G07	sample
5	G08	sample
5	G09	sample
5	H01	sample
5	H11	sample
5	H13	sample
5	H15	sample
5	H17	sample
5	H19	sample
5	H21	sample
5	H03	sample
5	H05	sample
5	H07	sample
5	H09	sample
5	I01	sample
5	I10	sample
5	I11	sample
5	I12	sample
5	I13	sample
5	I14	sample
5	I15	sample
5	I16	sample
5	I17	sample
5	I18	sample
5	I19	sample
5	I02	sample
5	I20	sample
5	I21	sample
5	I22	sample
5	I03	sample
5	I04	sample
5	I05	sample
5	I06	sample
5	I07	sample
5	I08	sample
5	I09	sample
5	J01	sample
5	J11	sample
5	J13	sample
5	J15	sample
5	J17	sample
5	J19	sample
5	J21	sample
5	J03	sample
5	J05	sample
5	J07	sample
5	J09	sample
5	K01	sample
5	K10	sample
5	K11	sample
5	K12	sample
5	K13	sample
5	K14	sample
5	K15	sample
5	K16	sample
5	K17	sample
5	K18	sample
5	K19	sample
5	K02	sample
5	K20	sample
5	K21	sample
5	K22	sample
5	K03	sample
5	K04	sample
5	K05	sample
5	K06	sample
5	K07	sample
5	K08	sample
5	K09	sample
5	L01	sample
5	L11	sample
5	L13	sample
5	L15	sample
5	L17	sample
5	L19	sample
5	L21	sample
5	L03	sample
5	L05	sample
5	L07	sample
5	L09	sample
5	M01	sample
5	M10	sample
5	M11	sample
5	M12	sample
5	M13	sample
5	M14	sample
5	M15	sample
5	M16	sample
5	M17	sample
5	M18	sample
5	M19	sample
5	M02	sample
5	M20	sample
5	M21	sample
5	M22	sample
5	M03	sample
5	M04	sample
5	M05	sample
5	M06	sample
5	M07	sample
5	M08	sample
5	M09	sample
5	N01	sample
5	N11	sample
5	N13	sample
5	N15	sample
5	N17	sample
5	N19	sample
5	N21	sample
5	N03	sample
5	N05	sample
5	N07	sample
5	N09	sample
5	O01	sample
5	O11	sample
5	O13	sample
5	O15	sample
5	O17	sample
5	O19	sample
5	O02	sample
5	O21	sample
5	O03	sample
5	O04	sample
5	O05	sample
5	O06	sample
5	O07	sample
5	O08	sample
5	O09	sample
5	P01	sample
5	P03	sample
5	P05	sample
5	P07	sample
6	A01	sample
6	A10	sample
6	A11	sample
6	A12	sample
6	A13	sample
6	A14	sample
6	A15	sample
6	A16	sample
6	A17	sample
6	A18	sample
6	A19	sample
6	A02	sample
6	A20	sample
6	A21	sample
6	A22	sample
6	A03	sample
6	A04	sample
6	A05	sample
6	A06	sample
6	A07	sample
6	A08	sample
6	A09	sample
6	B01	sample
6	B10	sample
6	B11	sample
6	B12	sample
6	B13	sample
6	B14	sample
6	B15	sample
6	B16	sample
6	B17	sample
6	B18	sample
6	B19	sample
6	B02	sample
6	B20	sample
6	B21	sample
6	B22	sample
6	B03	sample
6	B04	sample
6	B05	sample
6	B06	sample
6	B07	sample
6	B08	sample
6	B09	sample
6	C01	sample
6	C10	sample
6	C11	sample
6	C12	sample
6	C13	sample
6	C14	sample
6	C15	sample
6	C16	sample
6	C17	sample
6	C18	sample
6	C19	sample
6	C02	sample
6	C20	sample
6	C21	sample
6	C22	sample
6	C03	sample
6	C04	sample
6	C05	sample
6	C06	sample
6	C07	sample
6	C08	sample
6	C09	sample
6	D01	sample
6	D10	sample
6	D11	sample
6	D12	sample
6	D13	sample
6	D14	sample
6	D15	sample
6	D16	sample
6	D17	sample
6	D18	sample
6	D19	sample
6	D02	sample
6	D20	sample
6	D21	sample
6	D22	sample
6	D03	sample
6	D04	sample
6	D05	sample
6	D06	sample
6	D07	sample
6	D08	sample
6	D09	sample
6	E01	sample
6	E10	sample
6	E11	sample
6	E12	sample
6	E13	sample
6	E14	sample
6	E15	sample
6	E16	sample
6	E17	sample
6	E18	sample
6	E19	sample
6	E02	sample
6	E20	sample
6	E21	sample
6	E22	sample
6	E03	sample
6	E04	sample
6	E05	sample
6	E06	sample
6	E07	sample
6	E08	sample
6	E09	sample
6	F01	sample
6	F10	sample
6	F11	sample
6	F12	sample
6	F13	sample
6	F14	sample
6	F15	sample
6	F16	sample
6	F17	sample
6	F18	sample
6	F19	sample
6	F02	sample
6	F20	sample
6	F21	sample
6	F22	sample
6	F03	sample
6	F04	sample
6	F05	sample
6	F06	sample
6	F07	sample
6	F08	sample
6	F09	sample
6	G01	sample
6	G10	sample
6	G11	sample
6	G12	sample
6	G13	sample
6	G14	sample
6	G15	sample
6	G16	sample
6	G17	sample
6	G18	sample
6	G19	sample
6	G02	sample
6	G20	sample
6	G21	sample
6	G22	sample
6	G03	sample
6	G04	sample
6	G05	sample
6	G06	sample
6	G07	sample
6	G08	sample
6	G09	sample
6	H01	sample
6	H10	sample
6	H11	sample
6	H12	sample
6	H13	sample
6	H14	sample
6	H15	sample
6	H16	sample
6	H17	sample
6	H18	sample
6	H19	sample
6	H02	sample
6	H20	sample
6	H21	sample
6	H22	sample
6	H03	sample
6	H04	sample
6	H05	sample
6	H06	sample
6	H07	sample
6	H08	sample
