Plate	Well	GeneID	GeneSymbol	siRNAID
1	A01	326	AIRE	s1439
1	A10	8242	JARID1C	s15748
1	A11	639	PRDM1	s1992
1	A12	8284	JARID1D	s15775
1	A13	648	BMI1	s2014
1	A14	8359	HIST1H4A	s228299
1	A15	675	BRCA2	s2085
1	A16	8464	SUPT3H	s228376
1	A17	676	BRDT	s2088
1	A18	8473	OGT	s16093
1	A19	983	CDC2	s464
1	A02	8019	BRD3	s15546
1	A20	8520	HAT1	s16196
1	A21	1017	CDK2	s204
1	A22	8535	CBX4	s16233
1	A03	408	ARRB1	s1623
1	A04	8085	MLL2	s15604
1	A05	472	ATM	s1710
1	A06	8110	DPF3	s15630
1	A07	545	ATR	s536
1	A08	8202	NCOA3	s15698
1	A09	546	ATRX	s1826
1	B01	25855	BRMS1	s24634
1	B10	83852	SETDB2	s38217
1	B11	26610	ELP4	s25576
1	B12	83860	TAF3	s38235
1	B13	27097	TAF5L	s25810
1	B14	83903	GSG2	s38320
1	B15	27154	BRPF3	s25920
1	B16	83933	HDAC10	s38332
1	B17	27443	CECR2	s26247
1	B18	84148	MYST1	s38569
1	B19	29028	ATAD2	s26395
1	B02	80349	WDR61	s37275
1	B20	84181	CHD6	s38616
1	B21	29072	SETD2	s26424
1	B22	84193	SETD3	s38640
1	B03	25942	SIN3A	s24800
1	B04	80853	JHDM1D	s37448
1	B05	26013	L3MBTL	s24935
1	B06	80854	SETD7	s37453
1	B07	26038	CHD5	s24988
1	B08	83746	L3MBTL2	s38177
1	B09	26108	PYGO1	s25106
1	C01	1108	CHD4	s2983
1	C10	8841	HDAC3	s16878
1	C11	1786	DNMT1	s4217
1	C12	8850	KAT2B	s16894
1	C13	1787	TRDMT1	s4219
1	C14	8930	MBD4	s17076
1	C15	1788	DNMT3A	s200426
1	C16	8932	MBD2	s17081
1	C17	1789	DNMT3B	s4221
1	C18	8986	RPS6KA4	s17139
1	C19	2033	EP300	s4696
1	C02	8554	PIAS1	s16285
1	C20	9031	BAZ1B	s17210
1	C21	2091	FBL	s4822
1	C22	9063	PIAS2	s17285
1	C03	1111	CHEK1	s502
1	C04	8648	NCOA1	s16460
1	C05	1386	ATF2	s3492
1	C06	8721	EDF1	s16609
1	C07	1387	CREBBP	s3497
1	C08	8805	TRIM24	s16786
1	C09	1647	GADD45A	s225791
1	D01	29117	BRD7	s26525
1	D10	84456	L3MBTL3	s39039
1	D11	51147	ING4	s27553
1	D12	84661	DPY30	s39269
1	D13	51230	PHF20	s27722
1	D14	84733	CBX2	s39391
1	D15	51317	PHF21A	s27939
1	D16	84787	SUV420H2	s39430
1	D17	51460	SFMBT1	s28172
1	D18	84864	MINA	s39525
1	D19	51547	SIRT7	s28305
1	D02	84289	ING5	s38830
1	D20	90268	FAM105B	s40308
1	D21	51548	SIRT6	s28306
1	D22	90780	PYGO2	s40488
1	D03	29947	DNMT3L	s26771
1	D04	84312	BRMS1L	s38893
1	D05	29994	BAZ2B	s26866
1	D06	84332	DYDC2	s38937
1	D07	30827	CXXC1	s26937
1	D08	84444	DOT1L	s39012
1	D09	51111	SUV420H1	s27462
1	E01	2122	EVI1	s4873
1	E10	9329	GTF3C4	s17831
1	E11	2146	EZH2	s4917
1	E12	9575	CLOCK	s18394
1	E13	2186	BPTF	s5010
1	E14	9611	NCOR1	s201
1	E15	2289	FKBP5	s5216
1	E16	9612	NCOR2	s18467
1	E17	2332	FMR1	s5316
1	E18	9682	KDM4A	s18635
1	E19	2648	KAT2A	s5659
1	E02	9070	ASH2L	s17301
1	E20	9730	VPRBP	s18762
1	E21	3054	HCFC1	s6477
1	E22	9734	HDAC9	s18774
1	E03	2138	EYA1	s4905
1	E04	9112	MTA1	s17390
1	E05	2139	EYA2	s4908
1	E06	9212	AURKB	s17612
1	E07	2140	EYA3	s4912
1	E08	9252	RPS6KA5	s17691
1	E09	2145	EZH1	s4914
1	F01	51564	HDAC7	s28336
1	F10	93349	SP140L	s41124
1	F11	54014	BRWD1	s28830
1	F12	93624		s41176
1	F13	54093	SETD4	s28858
1	F14	114826	SMYD4	s41673
1	F15	54454	ATAD2B	s28990
1	F16	116143	WDR92	s41942
1	F17	54496	PRMT7	s29077
1	F18	117143	TADA1L	s42099
1	F19	54556	ING3	s224303
1	F02	90826	PRMT10	s40501
1	F20	121536	AEBP2	s42480
1	F21	54790	TET2	s29441
1	F22	138151	NACC2	s44088
1	F03	51588	PIAS4	s28370
1	F04	91133	L3MBTL4	s225080
1	F05	51592	TRIM33	s28373
1	F06	93081	C13orf27	s41076
1	F07	51780	KDM3B	s224242
1	F08	93166	PRDM6	s41098
1	F09	53615	MBD3	s28736
1	G01	3065	HDAC1	s73
1	G10	9869	SETDB1	s19112
1	G11	3431	SP110	s7144
1	G12	9870	AREL1	s19115
1	G13	3621	ING1	s223939
1	G14	9913	SUPT7L	s19221
1	G15	3622	ING2	s7431
1	G16	10013	HDAC6	s19459
1	G17	3717	JAK2	s7651
1	G18	10014	HDAC5	s19462
1	G19	3720	JARID2	s7655
1	G02	9739	SETD1A	s18789
1	G20	10155	TRIM28	s19779
1	G21	4152	MBD1	s8548
1	G22	10196	PRMT3	s19870
1	G03	3066	HDAC2	s6493
1	G04	9757	KMT2B	s18832
1	G05	3070	HELLS	s6505
1	G06	9759	HDAC4	s57938
1	G07	3275	PRMT2	s6915
1	G08	9866	TRIM66	s458620
1	G09	3276	PRMT1	s6917
1	H01	54799	MBTD1	s29459
1	H10	151194	FAM119A	s45529
1	H11	55140	ELP3	s30263
1	H12	171023	ASXL1	s46895
1	H13	55170	PRMT6	s30337
1	H14	196483	FAM86A	s47028
1	H15	55193	PBRM1	s30402
1	H16	196541	METTL21C	s47045
1	H17	55209	SETD5	s30444
1	H18	200424	TET3	s47240
1	H19	55252	ASXL2	s30557
1	H02	138474	TAF1L	s44116
1	H20	221037	JMJD1C	s47942
1	H21	55352	C17orf79	s30807
1	H22	221656	KDM1B	s48085
1	H03	54904	WHSC1L1	s29726
1	H04	140690	CTCFL	s44347
1	H05	54934	C12orf41	s29791
1	H06	143241	DYDC1	s225672
1	H07	55023	PHIP	s30011
1	H08	150572	SMYD1	s45456
1	H09	55139	ANKZF1	s30260
1	I01	4204	MECP2	s8644
1	I10	10445	MCRS1	s20433
1	I11	5110	PCMT1	s10131
1	I12	10474	TADA3	s20510
1	I13	5253	PHF2	s10437
1	I14	10498	CARM1	s20579
1	I15	5562	PRKAA1	s100
1	I16	10524	KAT5	s20631
1	I17	5563	PRKAA2	s11057
1	I18	10629	TAF6L	s20882
1	I19	5578	PRKCA	s11092
1	I02	10318	TNIP1	s20173
1	I20	10765	KDM5B	s21145
1	I21	5579	PRKCB	s11096
1	I22	10771	ZMYND11	s21155
1	I03	4221	MEN1	s8683
1	I04	10322	SMYD5	s20185
1	I05	4255	MGMT	s224042
1	I06	10389	SCML2	s20313
1	I07	4297	MLL	s8818
1	I08	10419	PRMT5	s20376
1	I09	4616	GADD45B	s9140
1	J01	55683	KIAA1310	s31244
1	J10	390245		s52753
1	J11	55870	ASH1L	s31702
1	J12	142	PARP1	s1097
1	J13	55904	KMT2E	s31749
1	J14	1105	CHD1	s2974
1	J15	56341	PRMT8	s32145
1	J16	1106	CHD2	s2978
1	J17	56950	SMYD2	s32470
1	J18	1107	CHD3	s2982
1	J19	56978	PRDM8	s32518
1	J02	254013	C12orf72	s226007
1	J20	1912	PHC2	s4475
1	J21	56979	PRDM9	s224441
1	J22	2073	ERCC5	s4804
1	J03	55693	KDM4D	s31266
1	J04	254065	BRWD3	s48489
1	J05	55777	MBD5	s31487
1	J06	284058	KIAA1267	s49462
1	J07	55818	JMJD1A	s224392
1	J08	387893	SETD8	s51988
1	J09	55869	HDAC8	s31697
1	K01	5585	PKN1	s11114
1	K10	11105	PRDM7	s21898
1	K11	5931	RBBP7	s11846
1	K12	11107	PRDM5	s223192
1	K13	6046	BRD2	s12072
1	K14	11108	PRDM4	s21904
1	K15	6299	SALL1	s12464
1	K16	11143	MYST2	s253
1	K17	6304	SATB1	s12479
1	K18	11176	BAZ2A	s22056
1	K19	6419	SETMAR	s12709
1	K02	10847	SRCAP	s21294
1	K20	11177	BAZ1A	s22060
1	K21	6595	SMARCA2	s13135
1	K22	11262	SP140	s22239
1	K03	5897	RAG2	s11756
1	K04	10902	BRD8	s21423
1	K05	5927	KDM5A	s11834
1	K06	10919	EHMT2	s21468
1	K07	5928	RBBP4	s11839
1	K08	11091	WDR5	s21863
1	K09	5929	RBBP5	s224522
1	L01	56980	PRDM10	s32522
1	L10	2962	GTF2F1	s6305
1	L11	57713	SFMBT2	s33656
1	L12	2965	GTF2H1	s226252
1	L13	58508	KMT2C	s33890
1	L14	3015	H2AFZ	s6416
1	L15	59335	PRDM12	s33987
1	L16	3068	HDGF	s6500
1	L17	59336	PRDM13	s33989
1	L18	3930	LBR	s8100
1	L19	63925	ZNF335	s34278
1	L02	2280	FKBP1A	s5205
1	L20	4299	AFF1	s8825
1	L21	63976	PRDM16	s197574
1	L22	4302	MLLT6	s8832
1	L03	56981	PRDM11	s32527
1	L04	2286	FKBP2	s194412
1	L05	57325	CSRP2BP	s32941
1	L06	2956	MSH6	s6288
1	L07	57504	MTA3	s33172
1	L08	2959	GTF2B	s6296
1	L09	57673	BEND3	s33567
1	M01	6596	HLTF	s13138
1	M10	23028	AOF2	s617
1	M11	6790	AURKA	s196
1	M12	23030	JMJD2B	s22867
1	M13	6795	AURKC	s13582
1	M14	23067	SETD1B	s22961
1	M15	6839	SUV39H1	s13660
1	M16	23081	JMJD2C	s225929
1	M17	6871	TADA2A	s13728
1	M18	23133	PHF8	s23107
1	M19	6872	TAF1	s13732
1	M02	22933	SIRT2	s22707
1	M20	23135	KDM6B	s23111
1	M21	6877	TAF5	s13743
1	M22	23210	JMJD6	s23289
1	M03	6597	SMARCA4	s13140
1	M04	22955	SCMH1	s22742
1	M05	6598	SMARCB1	s13144
1	M06	22976	PAXIP1	s22748
1	M07	6605	SMARCE1	s13161
1	M08	22992	FBXL11	s22790
1	M09	6672	SP100	s13330
1	N01	63977	PRDM15	s34349
1	N10	5252	PHF1	s10435
1	N11	65980	BRD9	s35293
1	N12	5431	POLR2B	s10796
1	N13	79595	SAP130	s35881
1	N14	5580	PRKCD	s11099
1	N15	79609	METTL21D	s228185
1	N16	5926	ARID4A	s11833
1	N17	79697	C14orf169	s36123
1	N18	5977	DPF2	s11929
1	N19	79723	SUV39H2	s36185
1	N02	4673	NAP1L1	s9267
1	N20	6119	RPA3	s12135
1	N21	79813	EHMT1	s36390
1	N22	6594	SMARCA1	s13131
1	N03	63978	PRDM14	s34354
1	N04	4674	NAP1L2	s9269
1	N05	64324	NSD1	s34630
1	N06	4675	NAP1L3	s9272
1	N07	64426	SUDS3	s34741
1	N08	4998	ORC1L	s9894
1	N09	64754	SMYD3	s34864
1	O01	6880	TAF9	s13751
1	O10	23411	SIRT1	s223591
1	O11	7404	UTY	s14738
1	O12	23466	CBX6	s23879
1	O13	7443	VRK1	s14820
1	O14	23476	BRD4	s23902
1	O15	7468	WHSC1	s200460
1	O16	23492	CBX7	s23926
1	O17	7799	PRDM2	s15357
1	O18	23522	KAT6B	s23999
1	O19	7862	BRPF1	s15422
1	O02	23309	SIN3B	s23529
1	O20	23613	ZMYND8	s24203
1	O21	7994	MYST3	s15533
1	O22	23774	BRD1	s24389
1	O03	6881	TAF10	s13755
1	O04	23408	SIRT5	s23761
1	O05	6883	TAF12	s13761
1	O06	23409	SIRT4	s23764
1	O07	7158	TP53BP1	s14314
1	O08	23410	SIRT3	s23768
1	O09	7403	UTX	s14736
1	P01	79823	C2orf34	s36416
1	P10	6749	SSRP1	s13491
1	P11	79918	SETD6	s36639
1	P12	6917	TCEA1	s13849
1	P13	79960	PHF17	s36724
1	P14	6941	TCF19	s13898
1	P15	79969	C6orf134	s36741
1	P16	6942	TCF20	s13901
1	P17	80218	NAA50	s37079
1	P18	6996	TDG	s13949
1	P19	80314	EPC1	s37199
1	P02	6599	SMARCC1	s13147
1	P20	7290	HIRA	s14521
1	P21	80335	WDR82	s37248
1	P22	7703	PCGF2	s15197
1	P03	79828	METTL8	s36424
1	P04	6601	SMARCC2	s13150
1	P05	79831	JMJD5	s36433
1	P06	6602	SMARCD1	s13153
1	P07	79885	HDAC11	s36568
1	P08	6604	SMARCD3	s13159
1	P09	79903	NAA60	s36614
2	A01	326	AIRE	s1440
2	A10	8242	JARID1C	s15750
2	A11	639	PRDM1	s1993
2	A12	8284	JARID1D	s224895
2	A13	648	BMI1	s2016
2	A14	8359	HIST1H4A	s228300
2	A15	675	BRCA2	s2083
2	A16	8464	SUPT3H	s228377
2	A17	676	BRDT	s2087
2	A18	8473	OGT	s16095
2	A19	983	CDC2	s465
2	A02	8019	BRD3	s15545
2	A20	8520	HAT1	s16194
2	A21	1017	CDK2	s205
2	A22	8535	CBX4	s16234
2	A03	408	ARRB1	s1624
2	A04	8085	MLL2	s15605
2	A05	472	ATM	s1709
2	A06	8110	DPF3	s15629
2	A07	545	ATR	s534
2	A08	8202	NCOA3	s15700
2	A09	546	ATRX	s1825
2	B01	25855	BRMS1	s226045
2	B10	83852	SETDB2	s38215
2	B11	26610	ELP4	s25577
2	B12	83860	TAF3	s38236
2	B13	27097	TAF5L	s25811
2	B14	83903	GSG2	s38321
2	B15	27154	BRPF3	s25918
2	B16	83933	HDAC10	s38333
2	B17	27443	CECR2	s26248
2	B18	84148	MYST1	s38570
2	B19	29028	ATAD2	s26393
2	B02	80349	WDR61	s228242
2	B20	84181	CHD6	s38617
2	B21	29072	SETD2	s26425
2	B22	84193	SETD3	s227991
2	B03	25942	SIN3A	s24801
2	B04	80853	JHDM1D	s37450
2	B05	26013	L3MBTL	s24934
2	B06	80854	SETD7	s37452
2	B07	26038	CHD5	s24989
2	B08	83746	L3MBTL2	s38176
2	B09	26108	PYGO1	s25108
2	C01	1108	CHD4	s2985
2	C10	8841	HDAC3	s16877
2	C11	1786	DNMT1	s4215
2	C12	8850	KAT2B	s16895
2	C13	1787	TRDMT1	s4218
2	C14	8930	MBD4	s17078
2	C16	8932	MBD2	s17080
2	C17	1789	DNMT3B	s4222
2	C18	8986	RPS6KA4	s17140
2	C19	2033	EP300	s4697
2	C02	8554	PIAS1	s16284
2	C20	9031	BAZ1B	s17208
2	C21	2091	FBL	s4821
2	C22	9063	PIAS2	s17287
2	C03	1111	CHEK1	s503
2	C04	8648	NCOA1	s16459
2	C05	1386	ATF2	s3493
2	C06	8721	EDF1	s16611
2	C07	1387	CREBBP	s3495
2	C08	8805	TRIM24	s16788
2	C09	1647	GADD45A	s3994
2	D01	29117	BRD7	s26526
2	D10	84456	L3MBTL3	s39037
2	D11	51147	ING4	s230418
2	D12	84661	DPY30	s39271
2	D13	51230	PHF20	s27723
2	D14	84733	CBX2	s195484
2	D15	51317	PHF21A	s27938
2	D16	84787	SUV420H2	s39429
2	D17	51460	SFMBT1	s28171
2	D18	84864	MINA	s39524
2	D19	51547	SIRT7	s28304
2	D02	84289	ING5	s38829
2	D20	90268	FAM105B	s40307
2	D21	51548	SIRT6	s28307
2	D22	90780	PYGO2	s40489
2	D03	29947	DNMT3L	s26769
2	D04	84312	BRMS1L	s38892
2	D05	29994	BAZ2B	s26865
2	D06	84332	DYDC2	s38936
2	D07	30827	CXXC1	s26936
2	D08	84444	DOT1L	s39010
2	D09	51111	SUV420H1	s27463
2	E01	2122	EVI1	s4872
2	E10	9329	GTF3C4	s17829
2	E11	2146	EZH2	s4918
2	E12	9575	CLOCK	s18393
2	E13	2186	BPTF	s5009
2	E14	9611	NCOR1	s202
2	E15	2289	FKBP5	s5214
2	E16	9612	NCOR2	s18468
2	E17	2332	FMR1	s5315
2	E18	9682	KDM4A	s18636
2	E19	2648	KAT2A	s5658
2	E02	9070	ASH2L	s17300
2	E20	9730	VPRBP	s18761
2	E21	3054	HCFC1	s6476
2	E22	9734	HDAC9	s18775
2	E03	2138	EYA1	s4904
2	E04	9112	MTA1	s17391
2	E05	2139	EYA2	s4907
2	E06	9212	AURKB	s17611
2	E07	2140	EYA3	s4910
