GeneID	Plate	Well	Score	RSARank	ScoreRank	PValue	RSAHit	#HitWell	#TotalWell	%HitWell	i.GeneID	GeneSymbol	siRNAID
4001	7	B13	-4.33	1	40	0.000278845686869429	1	3	3	100	4001	LMNB1	s8225
4001	6	B13	-3.86	2	46	0.000278845686869429	1	3	3	100	4001	LMNB1	s8224
4001	8	B13	-2.14	3	187	0.000278845686869429	1	3	3	100	4001	LMNB1	s8226
84108	5	O05	-2.7	6	101	0.00103516571450147	1	3	3	100	84108	PCGF6	s38515
84108	4	O05	-2.5	7	127	0.00103516571450147	1	3	3	100	84108	PCGF6	s38517
84108	4	P05	-1.69	8	284	0.00103516571450147	1	3	3	100	84108	PCGF6	s38516
2073	3	J22	-1.75	11	271	0.00174870406990621	1	3	3	100	2073	ERCC5	s4803
2073	2	J22	-1.62	12	312	0.00174870406990621	1	3	3	100	2073	ERCC5	s4802
2073	1	J22	-1.56	13	342	0.00174870406990621	1	3	3	100	2073	ERCC5	s4804
8242	1	A10	-2.14	24	188	0.00503611100851722	1	3	3	100	8242	JARID1C	s15748
8242	2	A10	-1.35	25	422	0.00503611100851722	1	3	3	100	8242	JARID1C	s15750
8242	3	A10	-1.21	26	486	0.00503611100851722	1	3	3	100	8242	JARID1C	s15749
23309	3	O02	-1.77	31	262	0.00656172084829466	1	3	3	100	23309	SIN3B	s23527
23309	2	O02	-1.12	32	530	0.00656172084829466	1	3	3	100	23309	SIN3B	s23528
23309	1	O02	-1.11	33	534	0.00656172084829466	1	3	3	100	23309	SIN3B	s23529
64327	8	I09	-1.43	41	394	0.00899086616823145	1	3	3	100	64327	LMBR1	s34637
64327	7	I09	-1.11	42	535	0.00899086616823145	1	3	3	100	64327	LMBR1	s34636
64327	6	I09	-1.01	43	593	0.00899086616823145	1	3	3	100	64327	LMBR1	s34635
340061	8	H14	-2.55	47	120	0.0100309395585015	1	3	3	100	340061	TMEM173	s50646
340061	6	H14	-1.74	48	273	0.0100309395585015	1	3	3	100	340061	TMEM173	s50644
340061	7	H14	-0.99	49	613	0.0100309395585015	1	3	3	100	340061	TMEM173	s50645
8019	3	A02	-1.59	52	327	0.0109392563499037	1	3	3	100	8019	BRD3	s15544
8019	2	A02	-1.09	53	549	0.0109392563499037	1	3	3	100	8019	BRD3	s15545
8019	1	A02	-0.97	54	628	0.0109392563499037	1	3	3	100	8019	BRD3	s15546
1059	6	I20	-1.84	55	248	0.011306785752984	1	3	3	100	1059	CENPB	s2909
1059	7	I20	-1.27	56	461	0.011306785752984	1	3	3	100	1059	CENPB	s2910
1059	8	I20	-0.96	57	637	0.011306785752984	1	3	3	100	1059	CENPB	s2911
10474	3	I12	-2.46	60	132	0.0120546765387224	1	3	3	100	10474	TADA3	s20508
10474	2	I12	-2.16	61	185	0.0120546765387224	1	3	3	100	10474	TADA3	s20509
23492	2	O16	-1.77	63	263	0.0123456605003246	1	3	3	100	23492	CBX7	s23927
23492	1	O16	-1.06	64	570	0.0123456605003246	1	3	3	100	23492	CBX7	s23926
23492	3	O16	-0.94	65	652	0.0123456605003246	1	3	3	100	23492	CBX7	s23925
7799	2	O17	-1.62	67	313	0.0126864731665439	1	3	3	100	7799	PRDM2	s229620
7799	1	O17	-1.23	68	480	0.0126864731665439	1	3	3	100	7799	PRDM2	s15357
7799	3	O17	-0.93	69	662	0.0126864731665439	1	3	3	100	7799	PRDM2	s229621
6604	1	P08	-3.42	71	58	0.0130919472886158	1	3	3	100	6604	SMARCD3	s13159
6604	2	P08	-1.33	72	432	0.0130919472886158	1	3	3	100	6604	SMARCD3	s13158
6604	3	P08	-0.92	73	669	0.0130919472886158	1	3	3	100	6604	SMARCD3	s13157
26038	2	B07	-2.36	75	143	0.0136258452101912	1	3	3	100	26038	CHD5	s24989
26038	3	B07	-1.38	76	410	0.0136258452101912	1	3	3	100	26038	CHD5	s24987
26038	1	B07	-0.9	77	678	0.0136258452101912	1	3	3	100	26038	CHD5	s24988
94026	7	J11	-1.58	79	334	0.014610479674914	1	3	3	100	94026	POM121L2	s458609
94026	6	J11	-1.08	80	554	0.014610479674914	1	3	3	100	94026	POM121L2	s458608
94026	8	J11	-0.88	81	696	0.014610479674914	1	3	3	100	94026	POM121L2	s458610
29994	2	D05	-1.28	84	456	0.0151846270380248	1	3	3	100	29994	BAZ2B	s26865
29994	3	D05	-1.17	85	504	0.0151846270380248	1	3	3	100	29994	BAZ2B	s26867
29994	1	D05	-0.87	86	702	0.0151846270380248	1	3	3	100	29994	BAZ2B	s26866
257218	5	C14	-1.11	88	536	0.016377654806362	1	3	3	100	257218	SHPRH	s48877
257218	4	C14	-0.9	89	679	0.016377654806362	1	3	3	100	257218	SHPRH	s48875
257218	5	D13	-0.84	90	720	0.016377654806362	1	3	3	100	257218	SHPRH	s48876
2122	3	E01	-2.08	92	201	0.0198609517207803	1	3	3	100	2122	EVI1	s4874
2122	2	E01	-1.07	93	563	0.0198609517207803	1	3	3	100	2122	EVI1	s4872
2122	1	E01	-0.77	94	767	0.0198609517207803	1	3	3	100	2122	EVI1	s4873
9646	4	I18	-1.52	99	356	0.0226060468364717	1	3	3	100	9646	CTR9	s18548
9646	5	I18	-0.85	100	715	0.0226060468364717	1	3	3	100	9646	CTR9	s18549
9646	5	J17	-0.72	101	802	0.0226060468364717	1	3	3	100	9646	CTR9	s18550
80854	1	B06	-1.97	102	225	0.0227749582460406	1	3	3	100	80854	SETD7	s37453
80854	2	B06	-0.75	103	786	0.0227749582460406	1	3	3	100	80854	SETD7	s37452
80854	3	B06	-0.72	104	803	0.0227749582460406	1	3	3	100	80854	SETD7	s37451
54947	7	J10	-1.82	119	252	0.0303442214195039	1	3	3	100	54947	LPCAT2	s29824
54947	8	J10	-1	120	602	0.0303442214195039	1	3	3	100	54947	LPCAT2	s29825
54947	6	J10	-0.63	121	885	0.0303442214195039	1	3	3	100	54947	LPCAT2	s29823
9918	8	A19	-0.89	123	687	0.0307561286919793	1	3	3	100	9918	NCAPD2	s19235
9918	6	A19	-0.69	124	831	0.0307561286919793	1	3	3	100	9918	NCAPD2	s19233
9918	7	A19	-0.62	125	893	0.0307561286919793	1	3	3	100	9918	NCAPD2	s19234
2033	1	C19	-3.25	126	66	0.0308716596697259	1	3	3	100	2033	EP300	s4696
2033	2	C19	-1.64	127	300	0.0308716596697259	1	3	3	100	2033	EP300	s4697
56980	3	L01	-3.01	129	78	0.0313809526500744	1	3	3	100	56980	PRDM10	s32524
56980	1	L01	-1.49	130	370	0.0313809526500744	1	3	3	100	56980	PRDM10	s32522
56980	2	L01	-0.61	131	897	0.0313809526500744	1	3	3	100	56980	PRDM10	s32523
91646	4	A02	-1.6	134	321	0.0331971205562006	1	3	3	100	91646	TDRD12	s40719
91646	5	A02	-0.69	135	832	0.0331971205562006	1	3	3	100	91646	TDRD12	s229938
91646	5	B01	-0.59	136	909	0.0331971205562006	1	3	3	100	91646	TDRD12	s229937
80335	3	P21	-4.93	137	32	0.0333421215094156	1	3	3	100	80335	WDR82	s37247
93081	1	F06	-1.63	138	306	0.0334152829296947	1	3	3	100	93081	C13orf27	s41076
93081	2	F06	-0.85	139	716	0.0334152829296947	1	3	3	100	93081	C13orf27	s41075
93081	3	F06	-0.59	140	910	0.0334152829296947	1	3	3	100	93081	C13orf27	s41074
64598	8	B08	-1.64	142	301	0.0337443153540042	1	3	3	100	64598	MOSPD3	s34794
64598	7	B08	-1.45	143	386	0.0337443153540042	1	3	3	100	64598	MOSPD3	s34793
64598	6	B08	-0.59	144	911	0.0337443153540042	1	3	3	100	64598	MOSPD3	s34792
57132	8	N17	-3.18	146	69	0.03508204402481	1	3	3	100	57132	CHMP1B	s32753
57132	6	N17	-2.61	147	110	0.03508204402481	1	3	3	100	57132	CHMP1B	s32751
57132	7	N17	-0.58	148	924	0.03508204402481	1	3	3	100	57132	CHMP1B	s32752
6597	2	M03	-1.78	152	258	0.0366535481082917	1	3	3	100	6597	SMARCA4	s13141
6597	3	M03	-1.59	153	328	0.0366535481082917	1	3	3	100	6597	SMARCA4	s13139
8520	2	A20	-0.98	155	620	0.0370370004816537	1	3	3	100	8520	HAT1	s16194
8520	1	A20	-0.57	156	935	0.0370370004816537	1	3	3	100	8520	HAT1	s16196
8520	3	A20	-0.56	157	942	0.0370370004816537	1	3	3	100	8520	HAT1	s16195
7175	6	B04	-1.56	158	343	0.0375073063656777	1	3	3	100	7175	TPR	s14353
7175	8	B04	-1.06	159	571	0.0375073063656777	1	3	3	100	7175	TPR	s14355
7175	7	B04	-0.55	160	951	0.0375073063656777	1	3	3	100	7175	TPR	s14354
126668	5	A16	-1.53	162	353	0.0378626366518462	1	3	3	100	126668	TDRD10	s225577
126668	5	B15	-1.51	163	360	0.0378626366518462	1	3	3	100	126668	TDRD10	s43066
126668	4	A16	-0.54	164	957	0.0378626366518462	1	3	3	100	126668	TDRD10	s43068
26007	6	J20	-1.28	166	457	0.0391847075618687	1	3	3	100	26007	DAK	s24919
26007	7	J20	-0.69	167	833	0.0391847075618687	1	3	3	100	26007	DAK	s24920
26007	8	J20	-0.53	168	964	0.0391847075618687	1	3	3	100	26007	DAK	s24921
201254	6	D15	-0.94	169	653	0.0399186379276142	1	3	3	100	201254	STRA13	s47345
201254	8	D15	-0.84	170	721	0.0399186379276142	1	3	3	100	201254	STRA13	s47347
201254	7	D15	-0.53	171	965	0.0399186379276142	1	3	3	100	201254	STRA13	s47346
23516	7	N06	-1.8	173	256	0.040537201381489	1	3	3	100	23516	SLC39A14	s23980
23516	6	N06	-0.81	174	740	0.040537201381489	1	3	3	100	23516	SLC39A14	s23979
23516	8	N06	-0.52	175	976	0.040537201381489	1	3	3	100	23516	SLC39A14	s23981
26502	6	L07	-1.67	177	293	0.0407864049667254	1	3	3	100	26502	NARF	s25458
26502	7	L07	-0.58	178	925	0.0407864049667254	1	3	3	100	26502	NARF	s25459
26502	8	L07	-0.52	179	977	0.0407864049667254	1	3	3	100	26502	NARF	s25460
10982	8	B02	-2.41	182	138	0.0416666576530105	1	3	3	100	10982	MAPRE2	s21623
