UserName,TestId,TestName,TestDateTime,OperationId,OpTime,ProcName,Tip,SampleId,Rack,Well,SrcRack,SrcWell,Volume,ErrorText,Response Text
JANUS,569,STEP2_Compress_siRNAsource_96WP_to_384WP.pro,7/11/2016 3:09:25 PM,2927,450,Compress Plate MDT_1,47,SRC0239,CPF203AG,G6,CPF203AG,G6,30,,
JANUS,569,STEP2_Compress_siRNAsource_96WP_to_384WP.pro,7/11/2016 3:09:25 PM,2928,450,Compress Plate MDT_1,48,SRC0240,CPF203AG,H6,CPF203AG,H6,30,,
JANUS,569,STEP2_Compress_siRNAsource_96WP_to_384WP.pro,7/11/2016 3:09:25 PM,2929,450,Compress Plate MDT_1,49,SRC0241,CPF203AG,A7,CPF203AG,A7,30,,
JANUS,569,STEP2_Compress_siRNAsource_96WP_to_384WP.pro,7/11/2016 3:09:25 PM,2930,450,Compress Plate MDT_1,50,SRC0242,CPF203AG,B7,CPF203AG,B7,30,,
JANUS,569,STEP2_Compress_siRNAsource_96WP_to_384WP.pro,7/11/2016 3:09:25 PM,2931,450,Compress Plate MDT_1,51,SRC0243,CPF203AG,C7,CPF203AG,C7,30,,
JANUS,569,STEP2_Compress_siRNAsource_96WP_to_384WP.pro,7/11/2016 3:09:25 PM,2932,450,Compress Plate MDT_1,52,SRC0244,CPF203AG,D7,CPF203AG,D7,30,,
JANUS,569,STEP2_Compress_siRNAsource_96WP_to_384WP.pro,7/11/2016 3:09:25 PM,2933,450,Compress Plate MDT_1,53,SRC0245,CPF203AG,E7,CPF203AG,E7,30,,
JANUS,569,STEP2_Compress_siRNAsource_96WP_to_384WP.pro,7/11/2016 3:09:25 PM,2934,450,Compress Plate MDT_1,54,SRC0246,CPF203AG,F7,CPF203AG,F7,30,,
JANUS,569,STEP2_Compress_siRNAsource_96WP_to_384WP.pro,7/11/2016 3:09:25 PM,2935,450,Compress Plate MDT_1,55,SRC0247,CPF203AG,G7,CPF203AG,G7,30,,
JANUS,569,STEP2_Compress_siRNAsource_96WP_to_384WP.pro,7/11/2016 3:09:25 PM,2936,450,Compress Plate MDT_1,56,SRC0248,CPF203AG,H7,CPF203AG,H7,30,,
JANUS,569,STEP2_Compress_siRNAsource_96WP_to_384WP.pro,7/11/2016 3:09:25 PM,2937,450,Compress Plate MDT_1,57,SRC0249,CPF203AG,A8,CPF203AG,A8,30,,
JANUS,569,STEP2_Compress_siRNAsource_96WP_to_384WP.pro,7/11/2016 3:09:25 PM,2938,450,Compress Plate MDT_1,58,SRC0250,CPF203AG,B8,CPF203AG,B8,30,,
JANUS,569,STEP2_Compress_siRNAsource_96WP_to_384WP.pro,7/11/2016 3:09:25 PM,2939,450,Compress Plate MDT_1,59,SRC0251,CPF203AG,C8,CPF203AG,C8,30,,
JANUS,569,STEP2_Compress_siRNAsource_96WP_to_384WP.pro,7/11/2016 3:09:25 PM,2940,450,Compress Plate MDT_1,60,SRC0252,CPF203AG,D8,CPF203AG,D8,30,,
JANUS,569,STEP2_Compress_siRNAsource_96WP_to_384WP.pro,7/11/2016 3:09:25 PM,2941,450,Compress Plate MDT_1,61,SRC0253,CPF203AG,E8,CPF203AG,E8,30,,
JANUS,569,STEP2_Compress_siRNAsource_96WP_to_384WP.pro,7/11/2016 3:09:25 PM,2942,450,Compress Plate MDT_1,62,SRC0254,CPF203AG,F8,CPF203AG,F8,30,,
JANUS,569,STEP2_Compress_siRNAsource_96WP_to_384WP.pro,7/11/2016 3:09:25 PM,2943,450,Compress Plate MDT_1,63,SRC0255,CPF203AG,G8,CPF203AG,G8,30,,
JANUS,569,STEP2_Compress_siRNAsource_96WP_to_384WP.pro,7/11/2016 3:09:25 PM,2944,450,Compress Plate MDT_1,64,SRC0256,CPF203AG,H8,CPF203AG,H8,30,,
JANUS,569,STEP2_Compress_siRNAsource_96WP_to_384WP.pro,7/11/2016 3:09:25 PM,2945,450,Compress Plate MDT_1,65,SRC0257,CPF203AG,A9,CPF203AG,A9,30,,
JANUS,569,STEP2_Compress_siRNAsource_96WP_to_384WP.pro,7/11/2016 3:09:25 PM,2946,450,Compress Plate MDT_1,66,SRC0258,CPF203AG,B9,CPF203AG,B9,30,,
JANUS,569,STEP2_Compress_siRNAsource_96WP_to_384WP.pro,7/11/2016 3:09:25 PM,2947,450,Compress Plate MDT_1,67,SRC0259,CPF203AG,C9,CPF203AG,C9,30,,
JANUS,569,STEP2_Compress_siRNAsource_96WP_to_384WP.pro,7/11/2016 3:09:25 PM,2948,450,Compress Plate MDT_1,68,SRC0260,CPF203AG,D9,CPF203AG,D9,30,,
JANUS,569,STEP2_Compress_siRNAsource_96WP_to_384WP.pro,7/11/2016 3:09:25 PM,2949,450,Compress Plate MDT_1,69,SRC0261,CPF203AG,E9,CPF203AG,E9,30,,
JANUS,569,STEP2_Compress_siRNAsource_96WP_to_384WP.pro,7/11/2016 3:09:25 PM,2950,450,Compress Plate MDT_1,70,SRC0262,CPF203AG,F9,CPF203AG,F9,30,,
JANUS,569,STEP2_Compress_siRNAsource_96WP_to_384WP.pro,7/11/2016 3:09:25 PM,2951,450,Compress Plate MDT_1,71,SRC0263,CPF203AG,G9,CPF203AG,G9,30,,
JANUS,569,STEP2_Compress_siRNAsource_96WP_to_384WP.pro,7/11/2016 3:09:25 PM,2952,450,Compress Plate MDT_1,72,SRC0264,CPF203AG,H9,CPF203AG,H9,30,,
JANUS,569,STEP2_Compress_siRNAsource_96WP_to_384WP.pro,7/11/2016 3:09:25 PM,2953,450,Compress Plate MDT_1,73,SRC0265,CPF203AG,A10,CPF203AG,A10,30,,
JANUS,569,STEP2_Compress_siRNAsource_96WP_to_384WP.pro,7/11/2016 3:09:25 PM,2954,450,Compress Plate MDT_1,74,SRC0266,CPF203AG,B10,CPF203AG,B10,30,,
JANUS,569,STEP2_Compress_siRNAsource_96WP_to_384WP.pro,7/11/2016 3:09:25 PM,2955,450,Compress Plate MDT_1,75,SRC0267,CPF203AG,C10,CPF203AG,C10,30,,
JANUS,569,STEP2_Compress_siRNAsource_96WP_to_384WP.pro,7/11/2016 3:09:25 PM,2956,450,Compress Plate MDT_1,76,SRC0268,CPF203AG,D10,CPF203AG,D10,30,,
JANUS,569,STEP2_Compress_siRNAsource_96WP_to_384WP.pro,7/11/2016 3:09:25 PM,2957,450,Compress Plate MDT_1,77,SRC0269,CPF203AG,E10,CPF203AG,E10,30,,
