UserName,TestId,TestName,TestDateTime,OperationId,OpTime,ProcName,Tip,SampleId,Rack,Well,SrcRack,SrcWell,Volume,ErrorText,Response Text
JANUS,564,STEP1auto_Resuspend_Source_Library_PlateStak1.pro,7/7/2016 11:51:46 AM,8909,1611,Replicate Plate MDT_1,77,SRC0077,CPF203AH,E10,CPF203AH,E10,35,,
JANUS,564,STEP1auto_Resuspend_Source_Library_PlateStak1.pro,7/7/2016 11:51:46 AM,8910,1611,Replicate Plate MDT_1,78,SRC0078,CPF203AH,F10,CPF203AH,F10,35,,
JANUS,564,STEP1auto_Resuspend_Source_Library_PlateStak1.pro,7/7/2016 11:51:46 AM,8911,1611,Replicate Plate MDT_1,79,SRC0079,CPF203AH,G10,CPF203AH,G10,35,,
JANUS,564,STEP1auto_Resuspend_Source_Library_PlateStak1.pro,7/7/2016 11:51:46 AM,8912,1611,Replicate Plate MDT_1,80,SRC0080,CPF203AH,H10,CPF203AH,H10,35,,
JANUS,564,STEP1auto_Resuspend_Source_Library_PlateStak1.pro,7/7/2016 11:51:46 AM,8913,1611,Replicate Plate MDT_1,81,SRC0081,CPF203AH,A11,CPF203AH,A11,35,,
JANUS,564,STEP1auto_Resuspend_Source_Library_PlateStak1.pro,7/7/2016 11:51:46 AM,8914,1611,Replicate Plate MDT_1,82,SRC0082,CPF203AH,B11,CPF203AH,B11,35,,
JANUS,564,STEP1auto_Resuspend_Source_Library_PlateStak1.pro,7/7/2016 11:51:46 AM,8915,1611,Replicate Plate MDT_1,83,SRC0083,CPF203AH,C11,CPF203AH,C11,35,,
JANUS,564,STEP1auto_Resuspend_Source_Library_PlateStak1.pro,7/7/2016 11:51:46 AM,8916,1611,Replicate Plate MDT_1,84,SRC0084,CPF203AH,D11,CPF203AH,D11,35,,
JANUS,564,STEP1auto_Resuspend_Source_Library_PlateStak1.pro,7/7/2016 11:51:46 AM,8917,1611,Replicate Plate MDT_1,85,SRC0085,CPF203AH,E11,CPF203AH,E11,35,,
JANUS,564,STEP1auto_Resuspend_Source_Library_PlateStak1.pro,7/7/2016 11:51:46 AM,8918,1611,Replicate Plate MDT_1,86,SRC0086,CPF203AH,F11,CPF203AH,F11,35,,
JANUS,564,STEP1auto_Resuspend_Source_Library_PlateStak1.pro,7/7/2016 11:51:46 AM,8919,1611,Replicate Plate MDT_1,87,SRC0087,CPF203AH,G11,CPF203AH,G11,35,,
JANUS,564,STEP1auto_Resuspend_Source_Library_PlateStak1.pro,7/7/2016 11:51:46 AM,8920,1611,Replicate Plate MDT_1,88,SRC0088,CPF203AH,H11,CPF203AH,H11,35,,
JANUS,564,STEP1auto_Resuspend_Source_Library_PlateStak1.pro,7/7/2016 11:51:46 AM,8921,1611,Replicate Plate MDT_1,89,SRC0089,CPF203AH,A12,CPF203AH,A12,35,,
JANUS,564,STEP1auto_Resuspend_Source_Library_PlateStak1.pro,7/7/2016 11:51:46 AM,8922,1611,Replicate Plate MDT_1,90,SRC0090,CPF203AH,B12,CPF203AH,B12,35,,
JANUS,564,STEP1auto_Resuspend_Source_Library_PlateStak1.pro,7/7/2016 11:51:46 AM,8923,1611,Replicate Plate MDT_1,91,SRC0091,CPF203AH,C12,CPF203AH,C12,35,,
JANUS,564,STEP1auto_Resuspend_Source_Library_PlateStak1.pro,7/7/2016 11:51:46 AM,8924,1611,Replicate Plate MDT_1,92,SRC0092,CPF203AH,D12,CPF203AH,D12,35,,
JANUS,564,STEP1auto_Resuspend_Source_Library_PlateStak1.pro,7/7/2016 11:51:46 AM,8925,1611,Replicate Plate MDT_1,93,SRC0093,CPF203AH,E12,CPF203AH,E12,35,,
JANUS,564,STEP1auto_Resuspend_Source_Library_PlateStak1.pro,7/7/2016 11:51:46 AM,8926,1611,Replicate Plate MDT_1,94,SRC0094,CPF203AH,F12,CPF203AH,F12,35,,
JANUS,564,STEP1auto_Resuspend_Source_Library_PlateStak1.pro,7/7/2016 11:51:46 AM,8927,1611,Replicate Plate MDT_1,95,SRC0095,CPF203AH,G12,CPF203AH,G12,35,,
JANUS,564,STEP1auto_Resuspend_Source_Library_PlateStak1.pro,7/7/2016 11:51:46 AM,8928,1611,Replicate Plate MDT_1,96,SRC0096,CPF203AH,H12,CPF203AH,H12,35,,
JANUS,564,STEP1auto_Resuspend_Source_Library_PlateStak1.pro,7/7/2016 11:51:46 AM,9025,1611,Replicate Plate MDT_1,1,SRC0001,CPF203AH,A1,CPF203AH,A1,35,,
